dataset,arm,backbone,h,seed,L,mse,wall_s
gefcom_wind,raw,linmix,24,0,192,0.248015,0.8
gefcom_wind,raw,linmix,24,1,192,0.243157,0.2
gefcom_wind,raw,linmix,24,2,192,0.243634,0.2
gefcom_wind,raw,linmix,24,3,192,0.252647,0.1
gefcom_wind,raw,linmix,24,4,192,0.251789,0.2
gefcom_wind,revin,linmix,24,0,192,0.320041,0.2
gefcom_wind,revin,linmix,24,1,192,0.324931,0.3
gefcom_wind,revin,linmix,24,2,192,0.320585,0.3
gefcom_wind,revin,linmix,24,3,192,0.312325,0.2
gefcom_wind,revin,linmix,24,4,192,0.323076,0.2
gefcom_wind,raw_cn,linmix,24,0,192,0.288372,0.3
gefcom_wind,raw_cn,linmix,24,1,192,0.282567,0.2
gefcom_wind,raw_cn,linmix,24,2,192,0.296829,0.2
gefcom_wind,raw_cn,linmix,24,3,192,0.291643,0.2
gefcom_wind,raw_cn,linmix,24,4,192,0.275882,0.5
gefcom_wind,revin_cn,linmix,24,0,192,0.230209,0.5
gefcom_wind,revin_cn,linmix,24,1,192,0.227274,0.5
gefcom_wind,revin_cn,linmix,24,2,192,0.220277,0.5
gefcom_wind,revin_cn,linmix,24,3,192,0.225543,0.4
gefcom_wind,revin_cn,linmix,24,4,192,0.241035,0.5
gefcom_wind,raw,linmix,96,0,336,0.248843,0.2
gefcom_wind,raw,linmix,96,1,336,0.264771,0.3
gefcom_wind,raw,linmix,96,2,336,0.25467,0.4
gefcom_wind,raw,linmix,96,3,336,0.237099,0.2
gefcom_wind,raw,linmix,96,4,336,0.246099,0.3
gefcom_wind,revin,linmix,96,0,336,0.302357,0.5
gefcom_wind,revin,linmix,96,1,336,0.302456,0.5
gefcom_wind,revin,linmix,96,2,336,0.302791,0.8
gefcom_wind,revin,linmix,96,3,336,0.324945,0.4
gefcom_wind,revin,linmix,96,4,336,0.302244,0.3
gefcom_wind,raw_cn,linmix,96,0,336,0.359279,0.3
gefcom_wind,raw_cn,linmix,96,1,336,0.353548,0.3
gefcom_wind,raw_cn,linmix,96,2,336,0.350142,0.3
gefcom_wind,raw_cn,linmix,96,3,336,0.337431,0.2
gefcom_wind,raw_cn,linmix,96,4,336,0.356095,0.3
gefcom_wind,revin_cn,linmix,96,0,336,0.254405,0.6
gefcom_wind,revin_cn,linmix,96,1,336,0.249404,0.5
gefcom_wind,revin_cn,linmix,96,2,336,0.2506,0.5
gefcom_wind,revin_cn,linmix,96,3,336,0.253227,0.9
gefcom_wind,revin_cn,linmix,96,4,336,0.246863,0.4
gefcom_wind,raw,linmix,336,0,336,0.384811,0.7
gefcom_wind,raw,linmix,336,1,336,0.386918,0.6
gefcom_wind,raw,linmix,336,2,336,0.332647,0.4
gefcom_wind,raw,linmix,336,3,336,0.412157,0.4
gefcom_wind,raw,linmix,336,4,336,0.387808,0.5
gefcom_wind,revin,linmix,336,0,336,0.446588,2.0
gefcom_wind,revin,linmix,336,1,336,0.423559,1.2
gefcom_wind,revin,linmix,336,2,336,0.386436,0.7
gefcom_wind,revin,linmix,336,3,336,0.403894,1.0
gefcom_wind,revin,linmix,336,4,336,0.43223,0.8
gefcom_wind,raw_cn,linmix,336,0,336,0.434773,0.8
gefcom_wind,raw_cn,linmix,336,1,336,0.41693,0.6
gefcom_wind,raw_cn,linmix,336,2,336,0.474781,0.5
gefcom_wind,raw_cn,linmix,336,3,336,0.430685,0.6
gefcom_wind,raw_cn,linmix,336,4,336,0.448492,0.5
gefcom_wind,revin_cn,linmix,336,0,336,0.389008,2.0
gefcom_wind,revin_cn,linmix,336,1,336,0.372374,2.0
gefcom_wind,revin_cn,linmix,336,2,336,0.358887,0.9
gefcom_wind,revin_cn,linmix,336,3,336,0.35361,1.4
gefcom_wind,revin_cn,linmix,336,4,336,0.347039,0.7
gefcom_solar,raw,linmix,24,0,192,0.160753,0.4
gefcom_solar,raw,linmix,24,1,192,0.166929,0.4
gefcom_solar,raw,linmix,24,2,192,0.161566,0.5
gefcom_solar,raw,linmix,24,3,192,0.156627,0.5
gefcom_solar,raw,linmix,24,4,192,0.15966,0.5
gefcom_solar,revin,linmix,24,0,192,0.142852,0.9
gefcom_solar,revin,linmix,24,1,192,0.149075,0.8
gefcom_solar,revin,linmix,24,2,192,0.146899,0.6
gefcom_solar,revin,linmix,24,3,192,0.148412,1.0
gefcom_solar,revin,linmix,24,4,192,0.145231,1.0
gefcom_solar,raw_cn,linmix,24,0,192,1.278088,1.1
gefcom_solar,raw_cn,linmix,24,1,192,6.198552,0.8
gefcom_solar,raw_cn,linmix,24,2,192,0.362523,1.4
gefcom_solar,raw_cn,linmix,24,3,192,0.730482,0.6
gefcom_solar,raw_cn,linmix,24,4,192,0.385804,1.3
gefcom_solar,revin_cn,linmix,24,0,192,0.21046,2.2
gefcom_solar,revin_cn,linmix,24,1,192,0.211985,1.6
gefcom_solar,revin_cn,linmix,24,2,192,0.365213,1.5
gefcom_solar,revin_cn,linmix,24,3,192,0.577399,0.7
gefcom_solar,revin_cn,linmix,24,4,192,0.216678,1.3
gefcom_solar,raw,linmix,96,0,96,0.149163,0.3
gefcom_solar,raw,linmix,96,1,96,0.14386,0.4
gefcom_solar,raw,linmix,96,2,96,0.143007,0.3
gefcom_solar,raw,linmix,96,3,96,0.145453,0.4
gefcom_solar,raw,linmix,96,4,96,0.150216,0.3
gefcom_solar,revin,linmix,96,0,96,0.149104,0.6
gefcom_solar,revin,linmix,96,1,96,0.143318,1.0
gefcom_solar,revin,linmix,96,2,96,0.149419,0.7
gefcom_solar,revin,linmix,96,3,96,0.151606,0.7
gefcom_solar,revin,linmix,96,4,96,0.134525,1.5
gefcom_solar,raw_cn,linmix,96,0,96,19.618217,0.6
gefcom_solar,raw_cn,linmix,96,1,96,39.744995,0.8
gefcom_solar,raw_cn,linmix,96,2,96,23.32519,0.9
gefcom_solar,raw_cn,linmix,96,3,96,16.72831,0.7
gefcom_solar,raw_cn,linmix,96,4,96,17.468855,1.2
gefcom_solar,revin_cn,linmix,96,0,96,9.671633,0.8
gefcom_solar,revin_cn,linmix,96,1,96,9.306671,0.8
gefcom_solar,revin_cn,linmix,96,2,96,4.138613,1.2
gefcom_solar,revin_cn,linmix,96,3,96,3.068536,1.5
gefcom_solar,revin_cn,linmix,96,4,96,7.20534,1.2
gefcom_solar,raw,linmix,336,0,96,0.195011,2.1
gefcom_solar,raw,linmix,336,1,96,0.188812,1.9
gefcom_solar,raw,linmix,336,2,96,0.192152,1.9
gefcom_solar,raw,linmix,336,3,96,0.195003,2.0
gefcom_solar,raw,linmix,336,4,96,0.190433,2.2
gefcom_solar,revin,linmix,336,0,96,0.193744,2.6
gefcom_solar,revin,linmix,336,1,96,0.195254,2.6
gefcom_solar,revin,linmix,336,2,96,0.199837,2.8
gefcom_solar,revin,linmix,336,3,96,0.1932,2.7
gefcom_solar,revin,linmix,336,4,96,0.192945,3.2
gefcom_solar,raw_cn,linmix,336,0,96,919.867004,2.1
gefcom_solar,raw_cn,linmix,336,1,96,1056.025757,2.0
gefcom_solar,raw_cn,linmix,336,2,96,684.026062,1.5
gefcom_solar,raw_cn,linmix,336,3,96,680.602905,2.7
gefcom_solar,raw_cn,linmix,336,4,96,599.041748,1.6
gefcom_solar,revin_cn,linmix,336,0,96,197.907532,2.9
gefcom_solar,revin_cn,linmix,336,1,96,103.673668,6.7
gefcom_solar,revin_cn,linmix,336,2,96,56.432495,7.1
gefcom_solar,revin_cn,linmix,336,3,96,165.852432,4.3
gefcom_solar,revin_cn,linmix,336,4,96,182.876892,3.7
