dataset,arm,footing,backbone,h,seed,L,mse,threads,wall_s
gefcom_wind,raw,global,linmix,24,0,192,0.248015,8,0.7
gefcom_wind,raw,global,linmix,24,1,192,0.243157,8,0.1
gefcom_wind,raw,global,linmix,24,2,192,0.243634,8,0.1
gefcom_wind,raw,global,linmix,24,3,192,0.252647,8,0.1
gefcom_wind,raw,global,linmix,24,4,192,0.251789,8,0.1
gefcom_wind,revin,global,linmix,24,0,192,0.320041,8,0.2
gefcom_wind,revin,global,linmix,24,1,192,0.324931,8,0.2
gefcom_wind,revin,global,linmix,24,2,192,0.320585,8,0.2
gefcom_wind,revin,global,linmix,24,3,192,0.312325,8,0.2
gefcom_wind,revin,global,linmix,24,4,192,0.323076,8,0.2
gefcom_wind,raw,window,linmix,24,0,192,0.288372,8,0.2
gefcom_wind,raw,window,linmix,24,1,192,0.282567,8,0.2
gefcom_wind,raw,window,linmix,24,2,192,0.296829,8,0.2
gefcom_wind,raw,window,linmix,24,3,192,0.291643,8,0.1
gefcom_wind,raw,window,linmix,24,4,192,0.275882,8,0.2
gefcom_wind,revin,window,linmix,24,0,192,0.230209,8,0.3
gefcom_wind,revin,window,linmix,24,1,192,0.227274,8,0.4
gefcom_wind,revin,window,linmix,24,2,192,0.220277,8,0.4
gefcom_wind,revin,window,linmix,24,3,192,0.225543,8,0.3
gefcom_wind,revin,window,linmix,24,4,192,0.241035,8,0.2
gefcom_wind,raw,window_floor,linmix,24,0,192,0.288372,8,0.2
gefcom_wind,raw,window_floor,linmix,24,1,192,0.282567,8,0.2
gefcom_wind,raw,window_floor,linmix,24,2,192,0.296829,8,0.2
gefcom_wind,raw,window_floor,linmix,24,3,192,0.291643,8,0.1
gefcom_wind,raw,window_floor,linmix,24,4,192,0.275882,8,0.2
gefcom_wind,revin,window_floor,linmix,24,0,192,0.230209,8,0.3
gefcom_wind,revin,window_floor,linmix,24,1,192,0.227274,8,0.4
gefcom_wind,revin,window_floor,linmix,24,2,192,0.220277,8,0.4
gefcom_wind,revin,window_floor,linmix,24,3,192,0.225543,8,0.3
gefcom_wind,revin,window_floor,linmix,24,4,192,0.241035,8,0.2
gefcom_wind,raw,scale,linmix,24,0,192,0.257314,8,0.2
gefcom_wind,raw,scale,linmix,24,1,192,0.275452,8,0.2
gefcom_wind,raw,scale,linmix,24,2,192,0.286092,8,0.2
gefcom_wind,raw,scale,linmix,24,3,192,0.270816,8,0.1
gefcom_wind,raw,scale,linmix,24,4,192,0.266921,8,0.2
gefcom_wind,revin,scale,linmix,24,0,192,0.247001,8,0.3
gefcom_wind,revin,scale,linmix,24,1,192,0.254386,8,0.3
gefcom_wind,revin,scale,linmix,24,2,192,0.249606,8,0.4
gefcom_wind,revin,scale,linmix,24,3,192,0.234685,8,0.3
gefcom_wind,revin,scale,linmix,24,4,192,0.250088,8,0.2
gefcom_wind,raw,global,linmix,96,0,336,0.248843,8,0.3
gefcom_wind,raw,global,linmix,96,1,336,0.264771,8,0.2
gefcom_wind,raw,global,linmix,96,2,336,0.25467,8,0.3
gefcom_wind,raw,global,linmix,96,3,336,0.237099,8,0.1
gefcom_wind,raw,global,linmix,96,4,336,0.246099,8,0.1
gefcom_wind,revin,global,linmix,96,0,336,0.302357,8,0.5
gefcom_wind,revin,global,linmix,96,1,336,0.302456,8,0.4
gefcom_wind,revin,global,linmix,96,2,336,0.302791,8,0.7
gefcom_wind,revin,global,linmix,96,3,336,0.324945,8,0.3
gefcom_wind,revin,global,linmix,96,4,336,0.302244,8,0.3
gefcom_wind,raw,window,linmix,96,0,336,0.359279,8,0.3
gefcom_wind,raw,window,linmix,96,1,336,0.353548,8,0.2
