dataset,backbone,h,bin,n,ramp_lo,ramp_hi,cost,mse_raw,mse_revin,lvl_err_windowmean,lvl_err_covariate
gefcom_load,linmix,24,0,4033,7.0,19.0,-0.001919,0.191307,0.189388,0.36928,0.205387
gefcom_load,linmix,24,1,4032,19.0,24.0,0.007971,0.12918,0.13715,0.335835,0.186682
gefcom_load,linmix,24,2,4032,24.0,47.900000000000006,-0.000511,0.188927,0.188416,0.440687,0.257783
gefcom_load,linmix,96,0,4009,14.299999999999983,23.200000000000003,-0.008592,0.35021,0.341618,0.303196,0.169597
gefcom_load,linmix,96,1,4008,23.200000000000003,27.400000000000006,0.041578,0.30738,0.348958,0.335496,0.169483
gefcom_load,linmix,96,2,4008,27.400000000000006,47.900000000000006,0.017829,0.3799,0.397729,0.420002,0.230308
gefcom_load,linmix,336,0,3929,17.900000000000006,25.099999999999994,0.006301,0.457857,0.464158,0.296599,0.121927
gefcom_load,linmix,336,1,3928,25.099999999999994,30.19999999999999,0.108743,0.488287,0.59703,0.341699,0.195896
gefcom_load,linmix,336,2,3928,30.19999999999999,47.900000000000006,0.02002,0.502192,0.522212,0.447695,0.189009
gefcom_solar,linmix,24,0,1258,0.04457798020692753,0.22497205353126432,-0.029282,0.196318,0.167036,0.23327,0.06234
gefcom_solar,linmix,24,1,1258,0.22497205353126432,0.27456982681061615,-0.007733,0.123357,0.115623,0.150899,0.05189
gefcom_solar,linmix,24,2,1258,0.27456982681061615,0.44600380116959093,-0.006825,0.163646,0.156822,0.161897,0.066621
gefcom_solar,linmix,96,0,1234,0.19092701304543408,0.2911463562753038,-0.011019,0.1413,0.130281,0.153211,0.035094
gefcom_solar,linmix,96,1,1234,0.2911463562753038,0.3299340755735493,0.009527,0.154254,0.16378,0.212142,0.037512
gefcom_solar,linmix,96,2,1234,0.3299340755735493,0.44600380116959093,-0.000744,0.143466,0.142722,0.138268,0.031348
gefcom_solar,linmix,336,0,1154,0.2802874044084567,0.34390639901034636,0.000904,0.178716,0.179621,0.137945,0.029267
