dataset,backbone,h,clean,n_origins,tie_frac_at_median_ramp,cost_all,cost_lo,cost_mid,cost_hi,hi_minus_lo,monotone
gefcom_load,linmix,24,False,12097,0.0083,0.001847,-0.001919,0.007971,-0.000511,0.001408,False
gefcom_load,linmix,96,False,12025,0.003,0.016936,-0.008592,0.041578,0.017829,0.026421,False
gefcom_load,linmix,336,False,11785,0.0255,0.045018,0.006301,0.108743,0.02002,0.013719,False
gefcom_solar,linmix,24,True,3774,0.0061,-0.014613,-0.029282,-0.007733,-0.006825,0.022457,True
gefcom_solar,linmix,96,True,3702,0.0197,-0.000746,-0.011019,0.009527,-0.000744,0.010275,False
gefcom_solar,linmix,336,True,3462,0.0627,0.002714,0.000904,-0.010831,0.018068,0.017164,False
gefcom_wind,linmix,24,True,910,0.0253,0.072343,0.065344,0.040653,0.111055,0.04571,False
gefcom_wind,linmix,96,True,478,0.1987,0.056662,0.053169,0.023286,0.093553,0.040384,False
gefcom_wind,linmix,336,True,94,0.7553,0.037673,0.036175,0.060019,0.016875,-0.0193,False
jeju_wind,linmix,24,True,3985,0.0025,-0.000364,-0.018296,0.014781,0.002435,0.020732,False
jeju_wind,linmix,48,False,3961,0.0013,0.007764,-0.013316,0.041843,-0.005219,0.008097,False
gefcom_load,mlpmix,24,False,12097,0.0083,0.010742,0.0224,0.007242,0.00258,-0.01982,False
gefcom_load,mlpmix,96,False,12025,0.003,0.019804,0.025116,0.021551,0.012744,-0.012373,False
gefcom_load,mlpmix,336,False,11785,0.0255,0.054328,0.098686,0.029954,0.034333,-0.064353,False
gefcom_solar,mlpmix,24,True,3774,0.0061,-3.9e-05,-0.004564,-0.000796,0.005241,0.009805,True
gefcom_solar,mlpmix,96,True,3702,0.0197,0.009477,-2.1e-05,0.012451,0.016002,0.016023,True
gefcom_solar,mlpmix,336,True,3462,0.0627,0.013769,0.015595,0.008772,0.016939,0.001344,False
gefcom_wind,mlpmix,24,True,910,0.0253,0.01048,0.037079,0.030173,-0.035902,-0.072981,False
gefcom_wind,mlpmix,96,True,478,0.1987,0.023924,0.040743,0.011868,0.019056,-0.021687,False
gefcom_wind,mlpmix,336,True,286,0.451,0.084912,0.122052,0.072512,0.059781,-0.062271,False
jeju_wind,mlpmix,24,True,3985,0.0025,0.012124,0.00538,0.032437,-0.001441,-0.006821,False
jeju_wind,mlpmix,48,False,3961,0.0013,0.02188,-0.001525,0.060621,0.006561,0.008087,False
gefcom_load,lgbmcov,24,False,12097,0.0083,0.003825,0.009984,0.007016,-0.005528,-0.015512,False
gefcom_load,lgbmcov,96,False,12025,0.003,0.013856,0.022067,0.002112,0.017388,-0.00468,False
gefcom_load,lgbmcov,336,False,11785,0.0255,0.030039,0.037336,0.012629,0.040151,0.002815,False
gefcom_solar,lgbmcov,24,True,3774,0.0061,0.004015,-0.00026,0.004215,0.008089,0.008349,True
gefcom_solar,lgbmcov,96,True,3702,0.0197,0.006288,0.005829,0.008176,0.00486,-0.000969,False
gefcom_solar,lgbmcov,336,True,3462,0.0627,0.006773,0.016105,0.002451,0.001763,-0.014342,False
gefcom_wind,lgbmcov,24,True,622,0.037,0.017407,0.001235,0.03388,0.017185,0.01595,False
gefcom_wind,lgbmcov,96,True,478,0.1987,0.020853,-0.001613,0.027243,0.037069,0.038683,True
gefcom_wind,lgbmcov,336,True,94,0.7553,0.037346,0.040242,0.036699,0.035004,-0.005238,False
jeju_wind,lgbmcov,24,True,3985,0.0025,0.028569,-0.005212,0.037657,0.053286,0.058498,True
jeju_wind,lgbmcov,48,False,3961,0.0013,0.040773,-0.008117,0.049618,0.080854,0.088971,True
gefcom_load,segrnncov,24,False,12097,0.0083,0.004565,0.010687,0.004682,-0.001676,-0.012363,False
gefcom_load,segrnncov,96,False,12025,0.003,0.008454,0.01238,0.003717,0.009262,-0.003118,False
gefcom_load,segrnncov,336,False,11785,0.0255,0.008955,0.021916,-0.005343,0.01029,-0.011627,False
gefcom_solar,segrnncov,24,True,3774,0.0061,0.000882,-0.00132,0.00096,0.003007,0.004328,True
gefcom_solar,segrnncov,96,True,3702,0.0197,-0.000894,-0.004661,0.000171,0.001807,0.006468,True
gefcom_solar,segrnncov,336,True,3462,0.0627,0.003001,0.00746,0.000665,0.000878,-0.006581,False
gefcom_wind,segrnncov,24,True,1405,0.0164,0.02496,0.013123,0.026559,0.035223,0.0221,True
gefcom_wind,segrnncov,96,True,766,0.124,0.025682,-0.004481,0.043701,0.037944,0.042425,False
gefcom_wind,segrnncov,336,True,94,0.7553,0.027275,0.019959,0.026795,0.035308,0.01535,True
jeju_wind,segrnncov,24,True,3601,0.0014,0.006904,-0.009195,0.025645,0.004276,0.013472,False
jeju_wind,segrnncov,48,False,3577,0.0106,0.01361,-0.002174,0.030546,0.012471,0.014646,False
gefcom_load,patchtstcov,24,False,12097,0.0083,-0.026057,0.009294,0.006627,-0.0941,-0.103394,False
