dataset,arm,feed_stats,backbone,h,seed,L,mse,threads,wall_s
gefcom_wind,raw,True,linmix,24,0,192,0.244912,8,2.1
gefcom_wind,raw,True,linmix,24,1,192,0.260348,8,0.5
gefcom_wind,raw,True,linmix,24,2,192,0.240974,8,0.4
gefcom_wind,raw,True,linmix,24,3,192,0.258671,8,0.3
gefcom_wind,raw,True,linmix,24,4,192,0.239563,8,0.6
gefcom_wind,revin,True,linmix,24,0,192,0.326903,8,0.7
gefcom_wind,revin,True,linmix,24,1,192,0.313917,8,1.7
gefcom_wind,revin,True,linmix,24,2,192,0.313049,8,1.5
gefcom_wind,revin,True,linmix,24,3,192,0.303373,8,0.6
gefcom_wind,revin,True,linmix,24,4,192,0.336591,8,0.7
gefcom_wind,raw,True,linmix,96,0,336,0.230782,8,1.1
gefcom_wind,raw,True,linmix,96,1,336,0.247246,8,1.1
gefcom_wind,raw,True,linmix,96,2,336,0.290201,8,2.1
gefcom_wind,raw,True,linmix,96,3,336,0.252901,8,0.7
gefcom_wind,raw,True,linmix,96,4,336,0.268892,8,1.1
gefcom_wind,revin,True,linmix,96,0,336,0.306814,8,2.1
gefcom_wind,revin,True,linmix,96,1,336,0.290322,8,1.4
gefcom_wind,revin,True,linmix,96,2,336,0.30433,8,1.4
gefcom_wind,revin,True,linmix,96,3,336,0.283396,8,1.4
gefcom_wind,revin,True,linmix,96,4,336,0.270573,8,1.6
gefcom_wind,raw,True,linmix,336,0,336,0.327279,8,2.0
gefcom_wind,raw,True,linmix,336,1,336,0.327685,8,2.8
gefcom_wind,raw,True,linmix,336,2,336,0.368062,8,1.5
gefcom_wind,raw,True,linmix,336,3,336,0.362734,8,3.1
gefcom_wind,raw,True,linmix,336,4,336,0.344424,8,1.9
gefcom_wind,revin,True,linmix,336,0,336,0.352219,8,3.9
gefcom_wind,revin,True,linmix,336,1,336,0.34573,8,2.7
gefcom_wind,revin,True,linmix,336,2,336,0.371063,8,3.4
gefcom_wind,revin,True,linmix,336,3,336,0.386535,8,3.5
gefcom_wind,revin,True,linmix,336,4,336,0.380468,8,3.5
gefcom_solar,raw,True,linmix,24,0,192,0.151964,8,1.0
gefcom_solar,raw,True,linmix,24,1,192,0.160611,8,1.7
gefcom_solar,raw,True,linmix,24,2,192,0.156574,8,1.3
gefcom_solar,raw,True,linmix,24,3,192,0.161638,8,2.1
gefcom_solar,raw,True,linmix,24,4,192,0.160652,8,1.4
gefcom_solar,revin,True,linmix,24,0,192,0.143958,8,1.8
gefcom_solar,revin,True,linmix,24,1,192,0.142995,8,2.3
gefcom_solar,revin,True,linmix,24,2,192,0.148385,8,1.4
gefcom_solar,revin,True,linmix,24,3,192,0.146678,8,2.4
gefcom_solar,revin,True,linmix,24,4,192,0.145618,8,1.8
gefcom_solar,raw,True,linmix,96,0,96,0.144528,8,1.1
gefcom_solar,raw,True,linmix,96,1,96,0.141437,8,1.2
gefcom_solar,raw,True,linmix,96,2,96,0.145733,8,1.4
gefcom_solar,raw,True,linmix,96,3,96,0.149079,8,1.2
gefcom_solar,raw,True,linmix,96,4,96,0.140848,8,1.0
gefcom_solar,revin,True,linmix,96,0,96,0.145203,8,2.1
gefcom_solar,revin,True,linmix,96,1,96,0.142432,8,2.3
gefcom_solar,revin,True,linmix,96,2,96,0.142452,8,3.2
gefcom_solar,revin,True,linmix,96,3,96,0.146791,8,1.9
gefcom_solar,revin,True,linmix,96,4,96,0.142545,8,2.7
gefcom_solar,raw,True,linmix,336,0,96,0.18617,8,5.1
gefcom_solar,raw,True,linmix,336,1,96,0.18832,8,5.6
gefcom_solar,raw,True,linmix,336,2,96,0.188834,8,6.0
gefcom_solar,raw,True,linmix,336,3,96,0.185132,8,5.8
gefcom_solar,raw,True,linmix,336,4,96,0.183932,8,5.8
gefcom_solar,revin,True,linmix,336,0,96,0.190933,8,8.7
gefcom_solar,revin,True,linmix,336,1,96,0.187484,8,7.2
gefcom_solar,revin,True,linmix,336,2,96,0.184891,8,7.8
gefcom_solar,revin,True,linmix,336,3,96,0.184644,8,7.6
gefcom_solar,revin,True,linmix,336,4,96,0.180911,8,7.6
jeju_wind,raw,True,linmix,24,0,336,0.325229,8,1.1
jeju_wind,raw,True,linmix,24,1,336,0.328701,8,0.7
jeju_wind,raw,True,linmix,24,2,336,0.304913,8,0.7
jeju_wind,raw,True,linmix,24,3,336,0.320838,8,0.7
jeju_wind,raw,True,linmix,24,4,336,0.320911,8,0.3
jeju_wind,revin,True,linmix,24,0,336,0.300235,8,2.5
jeju_wind,revin,True,linmix,24,1,336,0.336799,8,0.9
jeju_wind,revin,True,linmix,24,2,336,0.312719,8,0.9
jeju_wind,revin,True,linmix,24,3,336,0.308186,8,0.9
jeju_wind,revin,True,linmix,24,4,336,0.321224,8,2.0
