dataset,arm,backbone,h,seed,variant,width80,upper_margin,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
jeju_wind,raw,rlinear_q,24,0,none,1.75443,1.109818,0.205013,0.410025,0.817793,0.091376,0.909169,0.764214
jeju_wind,raw,rlinear_q,24,0,pooled,1.903684,1.255155,0.205433,0.410867,0.849106,0.075725,0.92483,0.799988
jeju_wind,raw,rlinear_q,24,0,perstep,1.925304,1.283316,0.205171,0.410343,0.848773,0.075462,0.924235,0.800191
jeju_wind,raw,rlinear_q,24,1,none,1.757306,1.091626,0.204501,0.409002,0.81854,0.089661,0.9082,0.765139
jeju_wind,raw,rlinear_q,24,1,pooled,1.909073,1.246468,0.204749,0.409497,0.848773,0.076653,0.925426,0.799988
jeju_wind,raw,rlinear_q,24,1,perstep,1.927734,1.27392,0.204288,0.408576,0.848642,0.075947,0.924588,0.800345
jeju_wind,raw,rlinear_q,24,2,none,1.771809,1.133505,0.204747,0.409493,0.829297,0.078752,0.908049,0.764194
jeju_wind,raw,rlinear_q,24,2,pooled,1.940389,1.293352,0.205242,0.410484,0.859853,0.067399,0.927252,0.799988
jeju_wind,raw,rlinear_q,24,2,perstep,1.963949,1.318545,0.205101,0.410203,0.859278,0.067359,0.926637,0.800249
jeju_wind,raw,rlinear_q,24,3,none,1.78724,1.134214,0.204931,0.409862,0.812041,0.099419,0.91146,0.762401
jeju_wind,raw,rlinear_q,24,3,pooled,1.933159,1.286028,0.205069,0.410138,0.84625,0.080851,0.927101,0.799988
jeju_wind,raw,rlinear_q,24,3,perstep,1.946942,1.304356,0.204974,0.409949,0.8462,0.080619,0.926818,0.800239
jeju_wind,raw,rlinear_q,24,4,none,1.730975,1.088607,0.203688,0.407376,0.802131,0.105665,0.907796,0.759845
jeju_wind,raw,rlinear_q,24,4,pooled,1.878687,1.239052,0.203515,0.407029,0.843132,0.080952,0.924084,0.800181
jeju_wind,raw,rlinear_q,24,4,perstep,1.892882,1.26142,0.203199,0.406397,0.843717,0.080104,0.923821,0.801001
jeju_wind,revin,rlinear_q,24,0,none,1.756609,1.085488,0.208409,0.416819,0.801657,0.081588,0.883245,0.789574
jeju_wind,revin,rlinear_q,24,0,pooled,1.826406,1.169452,0.208263,0.416526,0.812132,0.088258,0.90039,0.799988
jeju_wind,revin,rlinear_q,24,0,perstep,1.830907,1.177877,0.20819,0.41638,0.810981,0.089297,0.900279,0.800104
jeju_wind,revin,rlinear_q,24,1,none,1.703794,1.053192,0.208633,0.417266,0.781757,0.097189,0.878946,0.772863
jeju_wind,revin,rlinear_q,24,1,pooled,1.837338,1.176484,0.208519,0.417037,0.814987,0.08957,0.904557,0.799988
jeju_wind,revin,rlinear_q,24,1,perstep,1.84963,1.19018,0.208454,0.416909,0.81532,0.089862,0.905183,0.800056
jeju_wind,revin,rlinear_q,24,2,none,1.721796,1.08024,0.208463,0.416926,0.792696,0.086542,0.879238,0.781079
jeju_wind,revin,rlinear_q,24,2,pooled,1.818389,1.154135,0.208298,0.416595,0.815482,0.083565,0.899047,0.799988
jeju_wind,revin,rlinear_q,24,2,perstep,1.829117,1.15605,0.208185,0.416371,0.815694,0.083384,0.899078,0.800201
jeju_wind,revin,rlinear_q,24,3,none,1.705255,1.039825,0.208992,0.417984,0.777196,0.104596,0.881791,0.770289
jeju_wind,revin,rlinear_q,24,3,pooled,1.829241,1.151543,0.208918,0.417837,0.814594,0.086371,0.900965,0.799988
jeju_wind,revin,rlinear_q,24,3,perstep,1.836463,1.159091,0.208849,0.417698,0.814271,0.086603,0.900874,0.800046
jeju_wind,revin,rlinear_q,24,4,none,1.670583,1.039387,0.208625,0.417251,0.774512,0.102416,0.876927,0.762198
jeju_wind,revin,rlinear_q,24,4,pooled,1.823717,1.154737,0.208658,0.417316,0.821527,0.078802,0.900329,0.799988
jeju_wind,revin,rlinear_q,24,4,perstep,1.834136,1.167897,0.208638,0.417277,0.821486,0.079115,0.900601,0.800075
jeju_wind,condnorm,rlinear_q,24,0,none,0.72117,0.405482,0.163078,0.326157,0.572213,0.210584,0.782796,0.539256
jeju_wind,condnorm,rlinear_q,24,0,pooled,1.415106,0.765807,0.159541,0.319081,0.827773,0.053413,0.881186,0.799988
jeju_wind,condnorm,rlinear_q,24,0,perstep,1.41912,0.772941,0.159294,0.318589,0.828732,0.053383,0.882114,0.799988
jeju_wind,condnorm,rlinear_q,24,1,none,0.740432,0.419391,0.164448,0.328896,0.577793,0.210029,0.787822,0.554656
jeju_wind,condnorm,rlinear_q,24,1,pooled,1.41529,0.771913,0.160865,0.32173,0.823121,0.056097,0.879218,0.799988
jeju_wind,condnorm,rlinear_q,24,1,perstep,1.423399,0.780857,0.160632,0.321264,0.823605,0.055764,0.87937,0.79996
jeju_wind,condnorm,rlinear_q,24,2,none,0.739928,0.417081,0.166086,0.332173,0.568701,0.210574,0.779275,0.555919
jeju_wind,condnorm,rlinear_q,24,2,pooled,1.401197,0.754203,0.161975,0.323949,0.817006,0.056884,0.87389,0.799988
jeju_wind,condnorm,rlinear_q,24,2,perstep,1.407993,0.762991,0.161646,0.323293,0.818126,0.056511,0.874637,0.799998
jeju_wind,condnorm,rlinear_q,24,3,none,0.691932,0.387871,0.164757,0.329514,0.548852,0.222966,0.771817,0.531715
jeju_wind,condnorm,rlinear_q,24,3,pooled,1.404137,0.75468,0.160341,0.320681,0.823222,0.053756,0.876978,0.799988
jeju_wind,condnorm,rlinear_q,24,3,perstep,1.410798,0.763513,0.159994,0.319989,0.825028,0.053241,0.87827,0.800008
jeju_wind,condnorm,rlinear_q,24,4,none,0.692061,0.390921,0.166089,0.332177,0.549215,0.221876,0.771091,0.541532
jeju_wind,condnorm,rlinear_q,24,4,pooled,1.381845,0.74967,0.161699,0.323399,0.814029,0.056723,0.870752,0.799988
jeju_wind,condnorm,rlinear_q,24,4,perstep,1.386415,0.758733,0.161524,0.323049,0.815149,0.057318,0.872467,0.800008
