dataset,arm,h,seed,L,mse
jeju_wind,raw+cov,24,0,336,0.309233
jeju_wind,raw+cov,24,1,336,0.336627
jeju_wind,raw+cov,24,2,336,0.306159
jeju_wind,raw+cov,24,3,336,0.324223
jeju_wind,raw+cov,24,4,336,0.304175
jeju_wind,revin+cov,24,0,336,0.323864
jeju_wind,revin+cov,24,1,336,0.352381
jeju_wind,revin+cov,24,2,336,0.327734
jeju_wind,revin+cov,24,3,336,0.319165
jeju_wind,revin+cov,24,4,336,0.308967
jeju_wind,condnorm+cov,24,0,336,0.289509
jeju_wind,condnorm+cov,24,1,336,0.30234
jeju_wind,condnorm+cov,24,2,336,0.293826
jeju_wind,condnorm+cov,24,3,336,0.296372
jeju_wind,condnorm+cov,24,4,336,0.293519
jeju_wind,raw+cov,48,0,336,0.337464
jeju_wind,raw+cov,48,1,336,0.340167
jeju_wind,raw+cov,48,2,336,0.341762
jeju_wind,raw+cov,48,3,336,0.344499
jeju_wind,raw+cov,48,4,336,0.363548
jeju_wind,revin+cov,48,0,336,0.397048
jeju_wind,revin+cov,48,1,336,0.383998
jeju_wind,revin+cov,48,2,336,0.365969
jeju_wind,revin+cov,48,3,336,0.375783
jeju_wind,revin+cov,48,4,336,0.386212
jeju_wind,condnorm+cov,48,0,336,0.30713
jeju_wind,condnorm+cov,48,1,336,0.29652
jeju_wind,condnorm+cov,48,2,336,0.3002
jeju_wind,condnorm+cov,48,3,336,0.299396
jeju_wind,condnorm+cov,48,4,336,0.306556
gefcom_wind,raw+cov,24,0,336,0.217434
gefcom_wind,raw+cov,24,1,336,0.194936
gefcom_wind,raw+cov,24,2,336,0.225609
gefcom_wind,raw+cov,24,3,336,0.210309
gefcom_wind,raw+cov,24,4,336,0.215972
gefcom_wind,revin+cov,24,0,336,0.304617
gefcom_wind,revin+cov,24,1,336,0.321704
gefcom_wind,revin+cov,24,2,336,0.303462
gefcom_wind,revin+cov,24,3,336,0.294513
gefcom_wind,revin+cov,24,4,336,0.29157
gefcom_wind,condnorm+cov,24,0,336,0.165019
gefcom_wind,condnorm+cov,24,1,336,0.164697
gefcom_wind,condnorm+cov,24,2,336,0.163631
gefcom_wind,condnorm+cov,24,3,336,0.165079
gefcom_wind,condnorm+cov,24,4,336,0.168791
gefcom_wind,raw+cov,96,0,336,0.248843
gefcom_wind,raw+cov,96,1,336,0.264771
gefcom_wind,raw+cov,96,2,336,0.25467
gefcom_wind,raw+cov,96,3,336,0.237099
gefcom_wind,raw+cov,96,4,336,0.246099
gefcom_wind,revin+cov,96,0,336,0.405603
gefcom_wind,revin+cov,96,1,336,0.358007
gefcom_wind,revin+cov,96,2,336,0.372769
gefcom_wind,revin+cov,96,3,336,0.390231
gefcom_wind,revin+cov,96,4,336,0.359262
gefcom_wind,condnorm+cov,96,0,336,0.168895
gefcom_wind,condnorm+cov,96,1,336,0.167405
gefcom_wind,condnorm+cov,96,2,336,0.168848
gefcom_wind,condnorm+cov,96,3,336,0.165591
gefcom_wind,condnorm+cov,96,4,336,0.165403
gefcom_wind,raw+cov,336,0,336,0.384811
gefcom_wind,raw+cov,336,1,336,0.386918
gefcom_wind,raw+cov,336,2,336,0.332647
gefcom_wind,raw+cov,336,3,336,0.412157
gefcom_wind,raw+cov,336,4,336,0.387808
gefcom_wind,revin+cov,336,0,336,0.472574
gefcom_wind,revin+cov,336,1,336,0.506566
gefcom_wind,revin+cov,336,2,336,0.460434
gefcom_wind,revin+cov,336,3,336,0.453746
gefcom_wind,revin+cov,336,4,336,0.515501
gefcom_wind,condnorm+cov,336,0,336,0.202572
gefcom_wind,condnorm+cov,336,1,336,0.196255
gefcom_wind,condnorm+cov,336,2,336,0.199433
gefcom_wind,condnorm+cov,336,3,336,0.19583
gefcom_wind,condnorm+cov,336,4,336,0.201626
gefcom_load,raw+cov,24,0,336,0.175449
gefcom_load,raw+cov,24,1,336,0.171564
gefcom_load,raw+cov,24,2,336,0.175082
gefcom_load,raw+cov,24,3,336,0.170646
gefcom_load,raw+cov,24,4,336,0.170149
gefcom_load,revin+cov,24,0,336,0.18727
gefcom_load,revin+cov,24,1,336,0.184579
gefcom_load,revin+cov,24,2,336,0.190991
gefcom_load,revin+cov,24,3,336,0.184786
gefcom_load,revin+cov,24,4,336,0.192259
gefcom_load,condnorm+cov,24,0,336,0.076014
gefcom_load,condnorm+cov,24,1,336,0.077123
gefcom_load,condnorm+cov,24,2,336,0.075804
gefcom_load,condnorm+cov,24,3,336,0.077783
gefcom_load,condnorm+cov,24,4,336,0.077676
gefcom_load,raw+cov,96,0,336,0.353194
gefcom_load,raw+cov,96,1,336,0.350502
gefcom_load,raw+cov,96,2,336,0.349596
gefcom_load,raw+cov,96,3,336,0.342715
gefcom_load,raw+cov,96,4,336,0.353326
gefcom_load,revin+cov,96,0,336,0.39641
gefcom_load,revin+cov,96,1,336,0.417275
gefcom_load,revin+cov,96,2,336,0.395063
gefcom_load,revin+cov,96,3,336,0.395964
gefcom_load,revin+cov,96,4,336,0.403227
gefcom_load,condnorm+cov,96,0,336,0.112098
gefcom_load,condnorm+cov,96,1,336,0.109225
gefcom_load,condnorm+cov,96,2,336,0.109826
gefcom_load,condnorm+cov,96,3,336,0.108874
gefcom_load,condnorm+cov,96,4,336,0.111052
gefcom_load,raw+cov,336,0,336,0.490554
gefcom_load,raw+cov,336,1,336,0.495029
gefcom_load,raw+cov,336,2,336,0.485441
gefcom_load,raw+cov,336,3,336,0.490548
gefcom_load,raw+cov,336,4,336,0.494023
gefcom_load,revin+cov,336,0,336,0.625748
gefcom_load,revin+cov,336,1,336,0.614691
gefcom_load,revin+cov,336,2,336,0.646666
gefcom_load,revin+cov,336,3,336,0.629621
gefcom_load,revin+cov,336,4,336,0.577932
gefcom_load,condnorm+cov,336,0,336,0.129832
gefcom_load,condnorm+cov,336,1,336,0.12984
gefcom_load,condnorm+cov,336,2,336,0.127487
gefcom_load,condnorm+cov,336,3,336,0.127984
gefcom_load,condnorm+cov,336,4,336,0.127395
gefcom_solar,raw+cov,24,0,336,0.213321
gefcom_solar,raw+cov,24,1,336,0.229055
gefcom_solar,raw+cov,24,2,336,0.22376
gefcom_solar,raw+cov,24,3,336,0.234868
gefcom_solar,raw+cov,24,4,336,0.24023
gefcom_solar,revin+cov,24,0,336,0.246569
gefcom_solar,revin+cov,24,1,336,0.227667
gefcom_solar,revin+cov,24,2,336,0.233481
gefcom_solar,revin+cov,24,3,336,0.246912
gefcom_solar,revin+cov,24,4,336,0.24269
gefcom_solar,condnorm+cov,24,0,336,0.070572
gefcom_solar,condnorm+cov,24,1,336,0.06875
gefcom_solar,condnorm+cov,24,2,336,0.067489
gefcom_solar,condnorm+cov,24,3,336,0.070802
gefcom_solar,condnorm+cov,24,4,336,0.069539
gefcom_solar,raw+cov,96,0,336,0.194078
gefcom_solar,raw+cov,96,1,336,0.199044
gefcom_solar,raw+cov,96,2,336,0.183191
gefcom_solar,raw+cov,96,3,336,0.191309
gefcom_solar,raw+cov,96,4,336,0.182996
gefcom_solar,revin+cov,96,0,336,0.206383
gefcom_solar,revin+cov,96,1,336,0.208678
gefcom_solar,revin+cov,96,2,336,0.194188
gefcom_solar,revin+cov,96,3,336,0.199523
gefcom_solar,revin+cov,96,4,336,0.191641
gefcom_solar,condnorm+cov,96,0,336,0.06675
gefcom_solar,condnorm+cov,96,1,336,0.066468
gefcom_solar,condnorm+cov,96,2,336,0.06698
gefcom_solar,condnorm+cov,96,3,336,0.067224
gefcom_solar,condnorm+cov,96,4,336,0.066626
gefcom_solar,raw+cov,336,0,336,0.23053
gefcom_solar,raw+cov,336,1,336,0.239017
gefcom_solar,raw+cov,336,2,336,0.243347
gefcom_solar,raw+cov,336,3,336,0.233736
gefcom_solar,raw+cov,336,4,336,0.25295
gefcom_solar,revin+cov,336,0,336,0.247694
gefcom_solar,revin+cov,336,1,336,0.253767
gefcom_solar,revin+cov,336,2,336,0.260018
gefcom_solar,revin+cov,336,3,336,0.25136
gefcom_solar,revin+cov,336,4,336,0.26374
gefcom_solar,condnorm+cov,336,0,336,0.070499
gefcom_solar,condnorm+cov,336,1,336,0.071419
gefcom_solar,condnorm+cov,336,2,336,0.071207
gefcom_solar,condnorm+cov,336,3,336,0.071294
gefcom_solar,condnorm+cov,336,4,336,0.071173
