dataset,backbone,h,L,val_mse
jeju_wind,rlinear,24,192,0.75636
jeju_wind,patchtst,24,192,0.716471
jeju_wind,segrnn,24,720,0.707465
jeju_wind,rlinear,48,336,0.913173
jeju_wind,patchtst,48,192,0.868259
jeju_wind,segrnn,48,720,0.860217
gefcom_wind,rlinear,24,336,0.684874
gefcom_wind,patchtst,24,336,0.710073
gefcom_wind,segrnn,24,336,0.654541
gefcom_wind,rlinear,96,336,0.964581
gefcom_wind,patchtst,96,336,0.993668
gefcom_wind,segrnn,96,336,0.963282
gefcom_wind,rlinear,336,336,1.019164
gefcom_wind,patchtst,336,336,1.018775
gefcom_wind,segrnn,336,336,0.978992
gefcom_load,rlinear,24,192,0.166893
gefcom_load,patchtst,24,192,0.180503
gefcom_load,segrnn,24,720,0.15301
gefcom_load,rlinear,96,192,0.347466
gefcom_load,patchtst,96,192,0.360602
gefcom_load,segrnn,96,720,0.344676
gefcom_load,rlinear,336,336,0.509137
gefcom_load,patchtst,336,192,0.468138
gefcom_load,segrnn,336,720,0.452134
gefcom_solar,rlinear,24,336,0.15417
gefcom_solar,patchtst,24,96,0.188793
gefcom_solar,segrnn,24,720,0.138324
gefcom_solar,rlinear,96,336,0.174236
gefcom_solar,patchtst,96,336,0.207868
gefcom_solar,segrnn,96,720,0.149992
gefcom_solar,rlinear,336,336,0.180272
gefcom_solar,patchtst,336,336,0.219908
gefcom_solar,segrnn,336,720,0.154886
etth1,rlinear,24,96,0.40112
etth1,patchtst,24,96,0.420085
etth1,segrnn,24,192,0.374432
etth1,rlinear,96,336,0.689732
etth1,patchtst,96,96,0.727387
etth1,segrnn,96,336,0.683391
electricity,rlinear,24,336,0.102691
electricity,rlinear,336,336,0.15751
weather,rlinear,24,336,0.30425
weather,rlinear,336,720,0.570627
weather,patchtst,336,720,0.508434
weather,segrnn,336,192,0.53977
weather,patchtst,24,192,0.268224
weather,segrnn,24,192,0.257989
electricity,patchtst,336,720,0.154877
electricity,patchtst,24,720,0.111082
electricity,segrnn,24,720,0.083652
electricity,segrnn,336,720,0.146696
weather,rlinear,96,336,0.453333
weather,patchtst,96,720,0.387185
weather,segrnn,96,720,0.38773
electricity,rlinear,96,720,0.127359
etth1,rlinear,336,336,1.172877
etth1,patchtst,336,336,1.206007
etth1,segrnn,336,336,1.213981
etth2,rlinear,24,192,0.119326
etth2,patchtst,24,192,0.122393
etth2,segrnn,24,192,0.120831
etth2,rlinear,96,192,0.209429
etth2,patchtst,96,192,0.207308
etth2,segrnn,96,336,0.213207
etth2,rlinear,336,192,0.363933
etth2,patchtst,336,192,0.354423
etth2,segrnn,336,96,0.364877
electricity,patchtst,96,336,0.130693
electricity,segrnn,96,720,0.112265
jeju_wind,timexer_ms,24,192,0.692566
jeju_wind,itransformer,24,192,0.758501
jeju_wind,itransformer,48,192,0.930787
jeju_wind,timexer_ms,48,192,0.855283
gefcom_wind,itransformer,24,336,0.720506
gefcom_wind,timexer_ms,24,96,0.647212
gefcom_wind,itransformer,96,336,0.968723
gefcom_wind,itransformer,336,336,0.993733
gefcom_wind,timexer_ms,96,336,0.91247
gefcom_load,itransformer,24,192,0.160051
gefcom_wind,timexer_ms,336,336,0.951847
gefcom_load,timexer_ms,24,192,0.152955
gefcom_wind,itransformer_ms,24,96,0.625116
jeju_wind,itransformer_ms,24,192,0.733912
jeju_wind,itransformer_ms,48,192,0.881041
gefcom_wind,itransformer_ms,96,336,0.901416
gefcom_wind,itransformer_ms,336,336,0.93856
gefcom_load,timexer_ms,96,192,0.341013
gefcom_load,itransformer_ms,24,96,0.148461
gefcom_load,timexer_ms,336,192,0.460526
gefcom_load,itransformer,96,192,0.350836
gefcom_load,itransformer_ms,96,192,0.329743
gefcom_solar,timexer_ms,24,96,0.155514
gefcom_solar,timexer_ms,96,336,0.175187
gefcom_solar,timexer_ms,336,336,0.178803
gefcom_load,itransformer,336,720,0.503736
gefcom_load,itransformer_ms,336,720,0.45735
gefcom_solar,itransformer,24,336,0.150695
gefcom_solar,itransformer_ms,24,96,0.148911
gefcom_solar,itransformer,96,720,0.167015
gefcom_solar,itransformer_ms,96,720,0.167837
gefcom_solar,itransformer,336,336,0.171678
gefcom_solar,itransformer_ms,336,336,0.17384
etth1,itransformer,24,96,0.382735
etth1,timexer,24,96,0.395379
etth1,timexer,96,336,0.693396
etth1,itransformer,96,96,0.683444
etth1,itransformer,336,336,1.178963
etth1,timexer,336,336,1.190623
etth2,itransformer,24,96,0.124975
etth2,timexer,24,192,0.120888
etth2,itransformer,96,96,0.221405
etth2,itransformer,336,96,0.363713
etth2,timexer,96,96,0.212649
etth2,timexer,336,96,0.360452
weather,itransformer,24,192,0.262605
weather,itransformer,96,192,0.39443
weather,itransformer,336,720,0.519722
electricity,itransformer,24,720,0.087607
electricity,itransformer,96,720,0.113071
electricity,itransformer,336,720,0.143944
