dataset,arm,h,seed,mse,mae,nmae
etth1,seasonal_naive,24,0,0.668869,0.510642,
etth1,climatology,24,0,0.884796,0.711844,
etth1,first_stage_only,24,0,1.404443,0.868008,
etth1,dynreg,24,0,0.355292,0.389286,
jeju_wind,seasonal_naive,24,0,1.627956,0.922424,0.22539
jeju_wind,climatology,24,0,1.033205,0.846851,0.206924
weather,seasonal_naive,24,0,0.315584,0.287614,
weather,climatology,24,0,0.68588,0.601994,
jeju_wind,first_stage_only,24,0,0.295082,0.392909,0.096006
jeju_wind,dynreg,24,0,0.273243,0.368095,0.089942
jeju_wind,seasonal_naive,48,0,1.625081,0.920876,0.225012
jeju_wind,climatology,48,0,1.030759,0.846546,0.20685
jeju_wind,first_stage_only,48,0,0.292599,0.39108,0.095559
jeju_wind,dynreg,48,0,0.296701,0.391378,0.095632
gefcom_wind,seasonal_naive,24,0,1.761932,1.053522,
gefcom_wind,climatology,24,0,1.071336,0.837054,
gefcom_wind,first_stage_only,24,0,0.154444,0.306217,
gefcom_wind,dynreg,24,0,0.154436,0.306637,
gefcom_wind,seasonal_naive,96,0,1.943191,1.126091,
gefcom_wind,climatology,96,0,1.163199,0.873771,
gefcom_wind,first_stage_only,96,0,0.149818,0.301793,
gefcom_wind,dynreg,96,0,0.173052,0.326071,
gefcom_wind,seasonal_naive,336,0,2.258184,1.201606,
gefcom_wind,climatology,336,0,1.459205,1.008191,
gefcom_wind,first_stage_only,336,0,0.164928,0.317049,
gefcom_wind,dynreg,336,0,0.185618,0.334069,
gefcom_load,seasonal_naive,24,0,0.658198,0.580933,
gefcom_load,climatology,24,0,1.197104,0.856924,
gefcom_load,first_stage_only,24,0,0.136525,0.254485,
gefcom_load,dynreg,24,0,0.190242,0.308093,
gefcom_load,seasonal_naive,96,0,0.659989,0.581694,
gefcom_load,climatology,96,0,1.194813,0.85603,
gefcom_load,first_stage_only,96,0,0.136586,0.25429,
gefcom_load,dynreg,96,0,0.401651,0.465609,
gefcom_load,seasonal_naive,336,0,0.739723,0.627389,
gefcom_load,climatology,336,0,1.178172,0.850352,
gefcom_load,first_stage_only,336,0,0.136384,0.253465,
gefcom_load,dynreg,336,0,0.522337,0.542692,
gefcom_solar,seasonal_naive,24,0,0.331999,0.275995,
gefcom_solar,climatology,24,0,0.20272,0.256991,
gefcom_solar,first_stage_only,24,0,0.056128,0.118892,
gefcom_solar,dynreg,24,0,0.12385,0.246644,
gefcom_solar,seasonal_naive,96,0,0.335556,0.27796,
gefcom_solar,climatology,96,0,0.203124,0.257221,
gefcom_solar,first_stage_only,96,0,0.05637,0.118921,
gefcom_solar,dynreg,96,0,0.146041,0.275471,
gefcom_solar,seasonal_naive,336,0,0.331128,0.275001,
gefcom_solar,climatology,336,0,0.202936,0.256043,
gefcom_solar,first_stage_only,336,0,0.057074,0.11896,
gefcom_solar,dynreg,336,0,0.154207,0.284163,
etth1,seasonal_naive,96,0,0.656989,0.508554,
etth1,climatology,96,0,0.882363,0.710923,
etth1,first_stage_only,96,0,1.402721,0.867513,
etth1,dynreg,96,0,0.452055,0.453311,
etth1,seasonal_naive,336,0,0.682749,0.519671,
etth1,climatology,336,0,0.880539,0.711495,
etth1,first_stage_only,336,0,1.402779,0.87011,
jeju_wind,revin_all,24,0,0.308217,0.415763,0.10159
jeju_wind,revin_all,24,1,0.324438,0.425307,0.103922
etth1,dynreg,336,0,0.630166,0.563159,
etth2,seasonal_naive,24,0,0.581216,0.483614,
etth2,climatology,24,0,3.125015,1.350507,
etth2,first_stage_only,24,0,3.344926,1.37907,
etth2,dynreg,24,0,0.283121,0.352479,
etth2,seasonal_naive,96,0,0.582377,0.484654,
etth2,climatology,96,0,3.134752,1.350776,
etth2,first_stage_only,96,0,3.364042,1.382747,
jeju_wind,revin_all,24,2,0.32755,0.430975,0.105307
etth2,dynreg,96,0,0.819389,0.62072,
etth2,seasonal_naive,336,0,0.566972,0.490659,
etth2,climatology,336,0,3.125558,1.343352,
etth2,first_stage_only,336,0,3.39192,1.385672,
jeju_wind,revin_all,24,3,0.338973,0.435638,0.106446
jeju_wind,revin_all,24,4,0.329991,0.426316,0.104168
jeju_wind,linmix_raw,24,0,0.321393,0.428741,0.104761
jeju_wind,linmix_raw,24,1,0.321928,0.42527,0.103913
etth2,dynreg,336,0,1.573702,0.893371,
weather,first_stage_only,24,0,0.646536,0.494717,
jeju_wind,linmix_raw,24,2,0.317891,0.423528,0.103487
jeju_wind,linmix_raw,24,3,0.336722,0.441409,0.107856
jeju_wind,linmix_raw,24,4,0.332492,0.432145,0.105593
jeju_wind,linmix_revin,24,0,0.335308,0.427519,0.104462
jeju_wind,linmix_revin,24,1,0.324432,0.421617,0.10302
jeju_wind,linmix_revin,24,2,0.338095,0.431945,0.105544
weather,dynreg,24,0,0.109822,0.17122,
weather,seasonal_naive,96,0,0.316698,0.287958,
weather,climatology,96,0,0.686481,0.601938,
weather,first_stage_only,96,0,0.648273,0.495693,
jeju_wind,linmix_revin,24,3,0.35103,0.436687,0.106703
jeju_wind,linmix_revin,24,4,0.352264,0.43774,0.10696
jeju_wind,linmix_condnorm,24,0,0.310949,0.414236,0.101217
jeju_wind,linmix_condnorm,24,1,0.306822,0.413241,0.100974
jeju_wind,linmix_condnorm,24,2,0.300194,0.406481,0.099322
jeju_wind,linmix_condnorm,24,3,0.305363,0.408038,0.099702
jeju_wind,linmix_condnorm,24,4,0.296631,0.405335,0.099042
jeju_wind,revin_all,48,0,0.365979,0.451422,0.110303
jeju_wind,revin_all,48,1,0.359132,0.453524,0.110817
jeju_wind,revin_all,48,2,0.388048,0.473811,0.115774
jeju_wind,revin_all,48,3,0.364948,0.452915,0.110668
jeju_wind,revin_all,48,4,0.379543,0.46436,0.113464
jeju_wind,linmix_raw,48,0,0.361616,0.451132,0.110232
jeju_wind,linmix_raw,48,1,0.361706,0.462456,0.112999
jeju_wind,linmix_raw,48,2,0.365393,0.457977,0.111905
jeju_wind,linmix_raw,48,3,0.356077,0.448642,0.109624
jeju_wind,linmix_raw,48,4,0.363593,0.456412,0.111522
jeju_wind,linmix_revin,48,0,0.378046,0.458067,0.111927
weather,dynreg,96,0,0.168017,0.251392,
jeju_wind,linmix_revin,48,1,0.407211,0.478007,0.116799
weather,seasonal_naive,336,0,0.382684,0.330938,
jeju_wind,linmix_revin,48,2,0.412257,0.482064,0.11779
weather,climatology,336,0,0.690581,0.603775,
jeju_wind,linmix_revin,48,3,0.391717,0.470984,0.115083
weather,first_stage_only,336,0,0.650148,0.497132,
jeju_wind,linmix_revin,48,4,0.383927,0.462998,0.113131
jeju_wind,linmix_condnorm,48,0,0.304315,0.411506,0.10055
jeju_wind,linmix_condnorm,48,1,0.30737,0.414945,0.10139
jeju_wind,linmix_condnorm,48,2,0.313075,0.419181,0.102425
jeju_wind,linmix_condnorm,48,3,0.311874,0.417177,0.101935
jeju_wind,linmix_condnorm,48,4,0.315509,0.420838,0.10283
gefcom_wind,revin_all,24,0,0.250782,0.383837,
gefcom_wind,revin_all,24,1,0.242516,0.378652,
gefcom_wind,revin_all,24,2,0.254496,0.38574,
gefcom_wind,revin_all,24,3,0.257115,0.383514,
gefcom_wind,revin_all,24,4,0.243661,0.378827,
gefcom_wind,linmix_raw,24,0,0.26915,0.381717,
gefcom_wind,linmix_raw,24,1,0.254361,0.378983,
gefcom_wind,linmix_raw,24,2,0.275388,0.384607,
gefcom_wind,linmix_raw,24,3,0.271778,0.382079,
gefcom_wind,linmix_raw,24,4,0.267044,0.38003,
gefcom_wind,linmix_revin,24,0,0.330907,0.431895,
gefcom_wind,linmix_revin,24,1,0.319968,0.42153,
gefcom_wind,linmix_revin,24,2,0.333936,0.429613,
gefcom_wind,linmix_revin,24,3,0.309734,0.428252,
gefcom_wind,linmix_revin,24,4,0.338598,0.43481,
gefcom_wind,linmix_condnorm,24,0,0.180887,0.328173,
gefcom_wind,linmix_condnorm,24,1,0.180265,0.327916,
