[supervised] attempt 1/3 2026-07-20 13:40:04 :: uv run python -m experiments.g7_blocke --arms revin_all,linmix_raw,linmix_revin,linmix_condnorm
[1] jeju_wind_revin_all_24_0: mse=0.3082 mae=0.4158 (1.54s)
[2] jeju_wind_revin_all_24_1: mse=0.3244 mae=0.4253 (0.51s)
[3] jeju_wind_revin_all_24_2: mse=0.3275 mae=0.4310 (0.46s)
[4] jeju_wind_revin_all_24_3: mse=0.3390 mae=0.4356 (0.32s)
[5] jeju_wind_revin_all_24_4: mse=0.3300 mae=0.4263 (0.38s)
[6] jeju_wind_linmix_raw_24_0: mse=0.3214 mae=0.4287 (0.29s)
[7] jeju_wind_linmix_raw_24_1: mse=0.3219 mae=0.4253 (0.31s)
[8] jeju_wind_linmix_raw_24_2: mse=0.3179 mae=0.4235 (0.38s)
[9] jeju_wind_linmix_raw_24_3: mse=0.3367 mae=0.4414 (0.28s)
[10] jeju_wind_linmix_raw_24_4: mse=0.3325 mae=0.4321 (0.26s)
[11] jeju_wind_linmix_revin_24_0: mse=0.3353 mae=0.4275 (0.42s)
[12] jeju_wind_linmix_revin_24_1: mse=0.3244 mae=0.4216 (0.42s)
[13] jeju_wind_linmix_revin_24_2: mse=0.3381 mae=0.4319 (0.4s)
[14] jeju_wind_linmix_revin_24_3: mse=0.3510 mae=0.4367 (0.82s)
[15] jeju_wind_linmix_revin_24_4: mse=0.3523 mae=0.4377 (0.69s)
[16] jeju_wind_linmix_condnorm_24_0: mse=0.3109 mae=0.4142 (0.25s)
[17] jeju_wind_linmix_condnorm_24_1: mse=0.3068 mae=0.4132 (0.27s)
[18] jeju_wind_linmix_condnorm_24_2: mse=0.3002 mae=0.4065 (0.28s)
[19] jeju_wind_linmix_condnorm_24_3: mse=0.3054 mae=0.4080 (0.44s)
[20] jeju_wind_linmix_condnorm_24_4: mse=0.2966 mae=0.4053 (0.31s)
[21] jeju_wind_revin_all_48_0: mse=0.3660 mae=0.4514 (0.34s)
[22] jeju_wind_revin_all_48_1: mse=0.3591 mae=0.4535 (0.38s)
[23] jeju_wind_revin_all_48_2: mse=0.3880 mae=0.4738 (0.43s)
[24] jeju_wind_revin_all_48_3: mse=0.3649 mae=0.4529 (0.35s)
[25] jeju_wind_revin_all_48_4: mse=0.3795 mae=0.4644 (0.45s)
[26] jeju_wind_linmix_raw_48_0: mse=0.3616 mae=0.4511 (0.44s)
[27] jeju_wind_linmix_raw_48_1: mse=0.3617 mae=0.4625 (0.37s)
[28] jeju_wind_linmix_raw_48_2: mse=0.3654 mae=0.4580 (0.52s)
[29] jeju_wind_linmix_raw_48_3: mse=0.3561 mae=0.4486 (0.36s)
[30] jeju_wind_linmix_raw_48_4: mse=0.3636 mae=0.4564 (0.35s)
[31] jeju_wind_linmix_revin_48_0: mse=0.3780 mae=0.4581 (0.44s)
[32] jeju_wind_linmix_revin_48_1: mse=0.4072 mae=0.4780 (0.65s)
[33] jeju_wind_linmix_revin_48_2: mse=0.4123 mae=0.4821 (0.46s)
[34] jeju_wind_linmix_revin_48_3: mse=0.3917 mae=0.4710 (0.48s)
[35] jeju_wind_linmix_revin_48_4: mse=0.3839 mae=0.4630 (0.46s)
[36] jeju_wind_linmix_condnorm_48_0: mse=0.3043 mae=0.4115 (0.36s)
[37] jeju_wind_linmix_condnorm_48_1: mse=0.3074 mae=0.4149 (0.38s)
[38] jeju_wind_linmix_condnorm_48_2: mse=0.3131 mae=0.4192 (0.47s)
[39] jeju_wind_linmix_condnorm_48_3: mse=0.3119 mae=0.4172 (0.54s)
[40] jeju_wind_linmix_condnorm_48_4: mse=0.3155 mae=0.4208 (0.27s)
[41] gefcom_wind_revin_all_24_0: mse=0.2508 mae=0.3838 (0.28s)
