dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
jeju_wind,raw,rlinear_q,24,0,0.205013,0.410025,0.817793,0.091376,0.909169
jeju_wind,raw,rlinear_q,24,1,0.204501,0.409002,0.81854,0.089661,0.9082
jeju_wind,raw,rlinear_q,24,2,0.204747,0.409493,0.829297,0.078752,0.908049
jeju_wind,raw,rlinear_q,24,3,0.204931,0.409862,0.812041,0.099419,0.91146
jeju_wind,raw,rlinear_q,24,4,0.203688,0.407376,0.802131,0.105665,0.907796
jeju_wind,revin,rlinear_q,24,0,0.208409,0.416819,0.801657,0.081588,0.883245
jeju_wind,revin,rlinear_q,24,1,0.208633,0.417266,0.781757,0.097189,0.878946
jeju_wind,revin,rlinear_q,24,2,0.208463,0.416926,0.792696,0.086542,0.879238
jeju_wind,revin,rlinear_q,24,3,0.208992,0.417984,0.777196,0.104596,0.881791
jeju_wind,revin,rlinear_q,24,4,0.208625,0.417251,0.774512,0.102416,0.876927
jeju_wind,san,rlinear_q,24,0,0.216985,0.433971,0.749445,0.129339,0.878784
jeju_wind,san,rlinear_q,24,1,0.217648,0.435296,0.727436,0.145515,0.872951
jeju_wind,san,rlinear_q,24,2,0.21722,0.434439,0.749808,0.127926,0.877735
jeju_wind,san,rlinear_q,24,3,0.217256,0.434513,0.741977,0.134556,0.876534
jeju_wind,san,rlinear_q,24,4,0.218883,0.437765,0.737023,0.139794,0.876806
jeju_wind,fan,rlinear_q,24,0,0.246791,0.493582,0.392286,0.313777,0.706063
jeju_wind,fan,rlinear_q,24,1,0.248064,0.496127,0.503784,0.287418,0.791202
jeju_wind,fan,rlinear_q,24,2,0.245988,0.491975,0.369409,0.338611,0.708021
jeju_wind,fan,rlinear_q,24,3,0.252285,0.50457,0.457758,0.346089,0.803847
jeju_wind,fan,rlinear_q,24,4,0.255125,0.510249,0.334746,0.404154,0.7389
jeju_wind,condnorm,rlinear_q,24,0,0.163078,0.326157,0.572213,0.210584,0.782796
jeju_wind,condnorm,rlinear_q,24,1,0.164448,0.328896,0.577793,0.210029,0.787822
jeju_wind,condnorm,rlinear_q,24,2,0.166086,0.332173,0.568701,0.210574,0.779275
jeju_wind,condnorm,rlinear_q,24,3,0.164757,0.329514,0.548852,0.222966,0.771817
jeju_wind,condnorm,rlinear_q,24,4,0.166089,0.332177,0.549215,0.221876,0.771091
jeju_wind,raw,rlinear_q,48,0,0.24164,0.48328,0.768814,0.108553,0.877367
jeju_wind,raw,rlinear_q,48,1,0.2432,0.486399,0.754634,0.122312,0.876946
jeju_wind,raw,rlinear_q,48,2,0.243777,0.487555,0.751531,0.116327,0.867857
jeju_wind,raw,rlinear_q,48,3,0.237066,0.474133,0.793155,0.103609,0.896764
jeju_wind,raw,rlinear_q,48,4,0.245663,0.491325,0.779391,0.094836,0.874222
jeju_wind,revin,rlinear_q,48,0,0.246007,0.492014,0.808203,0.084212,0.892415
jeju_wind,revin,rlinear_q,48,1,0.248502,0.497003,0.811338,0.082003,0.89334
jeju_wind,revin,rlinear_q,48,2,0.247686,0.495372,0.805568,0.082692,0.888259
jeju_wind,revin,rlinear_q,48,3,0.242919,0.485838,0.805689,0.084117,0.889806
jeju_wind,revin,rlinear_q,48,4,0.249198,0.498396,0.80105,0.087772,0.888822
jeju_wind,san,rlinear_q,48,0,0.255611,0.511222,0.707381,0.158662,0.866043
jeju_wind,san,rlinear_q,48,1,0.25864,0.517281,0.7115,0.154291,0.86579
jeju_wind,san,rlinear_q,48,2,0.255812,0.511625,0.712047,0.154775,0.866821
jeju_wind,san,rlinear_q,48,3,0.253809,0.507617,0.705646,0.158141,0.863787
jeju_wind,san,rlinear_q,48,4,0.254919,0.509838,0.71404,0.151125,0.865165
jeju_wind,fan,rlinear_q,48,0,0.312293,0.624587,0.285918,0.417345,0.703263
jeju_wind,fan,rlinear_q,48,1,0.314913,0.629826,0.422021,0.301018,0.723039
jeju_wind,fan,rlinear_q,48,2,0.320056,0.640113,0.395812,0.357338,0.753151
jeju_wind,fan,rlinear_q,48,3,0.336121,0.672242,0.443522,0.301923,0.745445
jeju_wind,fan,rlinear_q,48,4,0.309051,0.618102,0.277697,0.424772,0.702469
jeju_wind,condnorm,rlinear_q,48,0,0.165047,0.330094,0.586331,0.209696,0.796027
jeju_wind,condnorm,rlinear_q,48,1,0.165792,0.331585,0.58306,0.220083,0.803143
jeju_wind,condnorm,rlinear_q,48,2,0.164259,0.328519,0.588735,0.213714,0.802449
jeju_wind,condnorm,rlinear_q,48,3,0.164893,0.329787,0.589934,0.210442,0.800377
jeju_wind,condnorm,rlinear_q,48,4,0.164233,0.328466,0.595236,0.209785,0.805021
gefcom_wind,raw,rlinear_q,24,0,0.272644,0.545289,0.762661,0.088424,0.851085
gefcom_wind,raw,rlinear_q,24,1,0.26765,0.5353,0.759847,0.098339,0.858186
gefcom_wind,raw,rlinear_q,24,2,0.280069,0.560137,0.763264,0.086817,0.85008
gefcom_wind,raw,rlinear_q,24,3,0.281206,0.562412,0.708266,0.111267,0.819534
gefcom_wind,raw,rlinear_q,24,4,0.281997,0.563993,0.703577,0.115622,0.819199
gefcom_wind,revin,rlinear_q,24,0,0.275336,0.550672,0.76802,0.141144,0.909164
gefcom_wind,revin,rlinear_q,24,1,0.277835,0.555669,0.75824,0.135785,0.894025
gefcom_wind,revin,rlinear_q,24,2,0.27009,0.540181,0.775255,0.13123,0.906484
gefcom_wind,revin,rlinear_q,24,3,0.281857,0.563714,0.74645,0.143556,0.890005
gefcom_wind,revin,rlinear_q,24,4,0.28054,0.561079,0.72642,0.157623,0.884043
gefcom_wind,san,rlinear_q,24,0,0.281812,0.563625,0.579247,0.223473,0.80272
gefcom_wind,san,rlinear_q,24,1,0.28641,0.57282,0.594319,0.212018,0.806337
gefcom_wind,san,rlinear_q,24,2,0.287285,0.574569,0.574491,0.224611,0.799102
gefcom_wind,san,rlinear_q,24,3,0.287015,0.574031,0.571008,0.232382,0.80339
gefcom_wind,san,rlinear_q,24,4,0.285171,0.570342,0.606444,0.198821,0.805265
gefcom_wind,fan,rlinear_q,24,0,0.360911,0.721822,0.209673,0.350147,0.55982
gefcom_wind,fan,rlinear_q,24,1,0.365809,0.731617,0.218583,0.411643,0.630225
gefcom_wind,fan,rlinear_q,24,2,0.368751,0.737503,0.211817,0.371115,0.582931
gefcom_wind,fan,rlinear_q,24,3,0.370481,0.740962,0.207061,0.344252,0.551313
gefcom_wind,fan,rlinear_q,24,4,0.35986,0.71972,0.227224,0.346329,0.573553
gefcom_wind,condnorm,rlinear_q,24,0,0.134831,0.269662,0.471932,0.24444,0.716372
gefcom_wind,condnorm,rlinear_q,24,1,0.134494,0.268988,0.462621,0.249129,0.71175
gefcom_wind,condnorm,rlinear_q,24,2,0.134249,0.268498,0.462152,0.250335,0.712487
gefcom_wind,condnorm,rlinear_q,24,3,0.134225,0.26845,0.476621,0.235798,0.71242
gefcom_wind,condnorm,rlinear_q,24,4,0.134343,0.268686,0.470927,0.245445,0.716372
gefcom_wind,raw,rlinear_q,96,0,0.325418,0.650836,0.771313,0.072568,0.843881
gefcom_wind,raw,rlinear_q,96,1,0.331364,0.662728,0.765429,0.079629,0.845058
gefcom_wind,raw,rlinear_q,96,2,0.317955,0.63591,0.768502,0.08281,0.851312
gefcom_wind,raw,rlinear_q,96,3,0.326909,0.653819,0.78441,0.068493,0.852903
gefcom_wind,raw,rlinear_q,96,4,0.324809,0.649617,0.758564,0.073265,0.83183
gefcom_wind,revin,rlinear_q,96,0,0.315822,0.631645,0.792364,0.132584,0.924948
gefcom_wind,revin,rlinear_q,96,1,0.31962,0.639241,0.786415,0.136593,0.923008
gefcom_wind,revin,rlinear_q,96,2,0.323233,0.646467,0.773274,0.142368,0.915642
gefcom_wind,revin,rlinear_q,96,3,0.317458,0.634917,0.778984,0.141083,0.920066
gefcom_wind,revin,rlinear_q,96,4,0.32153,0.64306,0.782165,0.138664,0.920829
gefcom_wind,san,rlinear_q,96,0,0.322436,0.644871,0.565202,0.220886,0.786088
gefcom_wind,san,rlinear_q,96,1,0.322242,0.644485,0.558468,0.225898,0.784366
gefcom_wind,san,rlinear_q,96,2,0.327873,0.655747,0.553434,0.230736,0.78417
gefcom_wind,san,rlinear_q,96,3,0.323708,0.647417,0.569997,0.221169,0.791165
gefcom_wind,san,rlinear_q,96,4,0.321213,0.642426,0.562565,0.224786,0.787352
gefcom_wind,fan,rlinear_q,96,0,0.437244,0.874488,0.181311,0.413136,0.594447
gefcom_wind,fan,rlinear_q,96,1,0.454012,0.908024,0.191096,0.424861,0.615956
gefcom_wind,fan,rlinear_q,96,2,0.451105,0.90221,0.176037,0.418432,0.594469
gefcom_wind,fan,rlinear_q,96,3,0.416588,0.833176,0.187827,0.410412,0.598239
gefcom_wind,fan,rlinear_q,96,4,0.435844,0.871688,0.191924,0.407427,0.599351
gefcom_wind,condnorm,rlinear_q,96,0,0.134477,0.268954,0.480017,0.268611,0.748627
gefcom_wind,condnorm,rlinear_q,96,1,0.133634,0.267269,0.490564,0.263969,0.754533
gefcom_wind,condnorm,rlinear_q,96,2,0.132893,0.265787,0.489888,0.266911,0.756799
gefcom_wind,condnorm,rlinear_q,96,3,0.133392,0.266783,0.480649,0.269526,0.750174
gefcom_wind,condnorm,rlinear_q,96,4,0.133294,0.266588,0.490934,0.265974,0.756908
gefcom_wind,raw,rlinear_q,336,0,0.35964,0.71928,0.754939,0.070067,0.825006
gefcom_wind,raw,rlinear_q,336,1,0.356048,0.712096,0.760385,0.074341,0.834726
gefcom_wind,raw,rlinear_q,336,2,0.358057,0.716113,0.771087,0.065191,0.836278
gefcom_wind,raw,rlinear_q,336,3,0.365924,0.731848,0.764089,0.052717,0.816806
gefcom_wind,raw,rlinear_q,336,4,0.354866,0.709733,0.785778,0.064843,0.850621
gefcom_wind,revin,rlinear_q,336,0,0.344192,0.688384,0.835075,0.136113,0.971188
gefcom_wind,revin,rlinear_q,336,1,0.34452,0.689039,0.849354,0.125063,0.974417
gefcom_wind,revin,rlinear_q,336,2,0.345561,0.691122,0.83156,0.136651,0.968212
gefcom_wind,revin,rlinear_q,336,3,0.338558,0.677115,0.840932,0.129686,0.970618
gefcom_wind,revin,rlinear_q,336,4,0.341666,0.683332,0.839602,0.131807,0.97141
gefcom_wind,san,rlinear_q,336,0,0.352399,0.704798,0.553761,0.239108,0.79287
gefcom_wind,san,rlinear_q,336,1,0.351128,0.702257,0.548886,0.24161,0.790495
gefcom_wind,san,rlinear_q,336,2,0.344298,0.688596,0.577824,0.228153,0.805978
gefcom_wind,san,rlinear_q,336,3,0.355599,0.711197,0.561613,0.22828,0.789894
gefcom_wind,san,rlinear_q,336,4,0.350943,0.701885,0.58232,0.21932,0.80164
gefcom_wind,fan,rlinear_q,336,0,0.506536,1.013071,0.174139,0.293535,0.467674
gefcom_wind,fan,rlinear_q,336,1,0.448487,0.896974,0.198803,0.325988,0.524791
gefcom_wind,fan,rlinear_q,336,2,0.494292,0.988584,0.176323,0.329787,0.506111
gefcom_wind,fan,rlinear_q,336,3,0.514141,1.028281,0.166762,0.271941,0.438703
gefcom_wind,fan,rlinear_q,336,4,0.482749,0.965499,0.175785,0.333872,0.509657
gefcom_wind,condnorm,rlinear_q,336,0,0.137041,0.274083,0.54993,0.251488,0.801418
gefcom_wind,condnorm,rlinear_q,336,1,0.136144,0.272289,0.555376,0.247752,0.803128
gefcom_wind,condnorm,rlinear_q,336,2,0.137758,0.275515,0.535809,0.257472,0.793281
gefcom_wind,condnorm,rlinear_q,336,3,0.136424,0.272847,0.559176,0.244744,0.80392
gefcom_wind,condnorm,rlinear_q,336,4,0.136152,0.272304,0.547651,0.251805,0.799455
gefcom_load,raw,rlinear_q,24,0,0.115374,0.230748,0.84584,0.072132,0.917972
gefcom_load,raw,rlinear_q,24,1,0.11447,0.22894,0.838875,0.072807,0.911683
gefcom_load,raw,rlinear_q,24,2,0.114376,0.228752,0.819845,0.079534,0.899379
gefcom_load,raw,rlinear_q,24,3,0.115657,0.231314,0.843835,0.066866,0.910701
gefcom_load,raw,rlinear_q,24,4,0.115474,0.230948,0.836265,0.069359,0.905624
gefcom_load,revin,rlinear_q,24,0,0.116008,0.232016,0.794563,0.101533,0.896097
gefcom_load,revin,rlinear_q,24,1,0.11706,0.234119,0.811847,0.094176,0.906024
gefcom_load,revin,rlinear_q,24,2,0.116055,0.232109,0.805923,0.095489,0.901412
gefcom_load,revin,rlinear_q,24,3,0.117108,0.234216,0.811437,0.08871,0.900147
gefcom_load,revin,rlinear_q,24,4,0.115466,0.230932,0.802847,0.100696,0.90354
gefcom_load,san,rlinear_q,24,0,0.120521,0.241043,0.795056,0.097448,0.892504
gefcom_load,san,rlinear_q,24,1,0.119825,0.23965,0.796392,0.100614,0.897006
gefcom_load,san,rlinear_q,24,2,0.118661,0.237321,0.795762,0.096859,0.892621
gefcom_load,san,rlinear_q,24,3,0.119749,0.239497,0.779084,0.108395,0.887479
gefcom_load,san,rlinear_q,24,4,0.119104,0.238208,0.792845,0.101747,0.894588
gefcom_load,fan,rlinear_q,24,0,0.120296,0.240593,0.778895,0.091738,0.870633
gefcom_load,fan,rlinear_q,24,1,0.120716,0.241432,0.773904,0.077888,0.851792
gefcom_load,fan,rlinear_q,24,2,0.1198,0.2396,0.7683,0.118414,0.886714
gefcom_load,fan,rlinear_q,24,3,0.11857,0.23714,0.784216,0.086633,0.87085
gefcom_load,fan,rlinear_q,24,4,0.12019,0.24038,0.760891,0.102625,0.863516
gefcom_load,condnorm,rlinear_q,24,0,0.074407,0.148813,0.6369,0.150275,0.787175
gefcom_load,condnorm,rlinear_q,24,1,0.073935,0.147869,0.668623,0.137169,0.805792
