dataset,arm,best,K,k_sig,p_fisher,p_simes,p_hmp,star_fisher,star_simes,star_hmp
electricity,condnorm,fan,9,8,3.0455522788301703e-57,8.062666932331688e-23,8.056743716920184e-23,True,True,True
electricity,raw,fan,9,7,0.0,1.32451463232884e-245,1.3245146323288401e-245,True,True,True
electricity,revin,fan,9,6,2.624099293888405e-262,1.1572209286690279e-191,1.1572209286690279e-191,True,True,True
electricity,san,fan,9,5,2.20640746318883e-253,3.229009466176496e-143,3.229009466176496e-143,True,True,True
etth1,condnorm,revin,12,12,0.0,1.3694150805598855e-127,1.3694150805598857e-127,True,True,True
etth1,fan,revin,9,7,2.9527826289540475e-56,3.761160903267499e-36,3.761160903267499e-36,True,True,True
etth1,raw,revin,12,6,4.4515864273813275e-13,1.4625069234104694e-07,1.4622021161027543e-07,True,True,True
etth1,san,revin,9,6,5.857622246999292e-12,7.650893380329221e-05,5.401924509206378e-05,True,True,True
etth2,condnorm,san,9,9,0.0,1.0508466167127932e-300,1.0508466167127932e-300,True,True,True
etth2,fan,san,9,9,1.6138161750518245e-30,1.4231143754329736e-14,1.4231143334361275e-14,True,True,True
etth2,raw,san,9,9,4.530222080354513e-42,5.287434516483823e-13,5.268432233538049e-13,True,True,True
etth2,revin,san,9,3,0.0260116219759011,0.12998309437323113,0.07686600748380933,True,False,False
gefcom_load,fan,condnorm,9,9,9.971304616680311e-132,1.2886491811536154e-26,1.2584140722509861e-26,True,True,True
gefcom_load,raw,condnorm,12,12,1.3497652299468606e-171,3.059364682638836e-25,2.9901751239761594e-25,True,True,True
gefcom_load,revin,condnorm,12,12,2.1967191465018437e-173,6.869114193458013e-31,6.869091271553036e-31,True,True,True
gefcom_load,san,condnorm,9,9,3.293655852818514e-129,4.978988300671469e-26,4.3953336674853164e-26,True,True,True
gefcom_solar,fan,condnorm,9,9,2.9525538603265236e-139,1.4496972768015067e-30,1.4496832554831e-30,True,True,True
gefcom_solar,raw,condnorm,12,12,5.8911240917534955e-210,1.2551241012172427e-45,1.2551241012172066e-45,True,True,True
gefcom_solar,revin,condnorm,12,12,6.975795122970686e-219,1.8498470761526497e-43,1.8498470759899576e-43,True,True,True
gefcom_solar,san,condnorm,9,9,0.0,1.025764212289144e-142,1.025764212289144e-142,True,True,True
gefcom_wind,fan,condnorm,9,9,0.0,3.557237806264234e-123,3.557237806264234e-123,True,True,True
gefcom_wind,raw,condnorm,12,12,0.0,3.3093131763438252e-133,3.309308596665034e-133,True,True,True
gefcom_wind,revin,condnorm,12,12,0.0,4.489442433511064e-106,4.489442433511063e-106,True,True,True
gefcom_wind,san,condnorm,9,9,1.1308394494040421e-196,3.955383217363617e-58,3.842899314567849e-58,True,True,True
jeju_wind,fan,condnorm,6,6,6.996552776160222e-80,5.5112449986690536e-17,5.3263886187546386e-17,True,True,True
jeju_wind,raw,condnorm,8,8,1.8175110755850437e-122,2.1520296943938242e-21,1.6131557739330563e-21,True,True,True
jeju_wind,revin,condnorm,8,8,1.92649649611429e-97,2.82289530348931e-16,2.541057417032168e-16,True,True,True
jeju_wind,san,condnorm,6,6,1.7440739886134242e-81,2.1280913601418144e-17,1.5901543400989637e-17,True,True,True
weather,condnorm,san,9,9,0.0,1.4028728897759953e-181,1.4028728897542045e-181,True,True,True
weather,fan,san,9,8,3.122516697215245e-32,7.570713972936258e-16,7.570703680170712e-16,True,True,True
weather,raw,san,9,7,5.52810383614886e-131,1.2580750384174184e-66,1.2580750384174184e-66,True,True,True
weather,revin,san,9,4,8.373493334100263e-36,5.148162111727068e-26,5.148162111727046e-26,True,True,True
