lam,arm,seed,excess,bound
0.4,raw,0,0.002791,0.06625
0.4,revin,0,0.084967,0.06625
0.4,cn,0,0.002804,0.06625
0.4,raw,1,0.002367,0.06625
0.4,revin,1,0.08457,0.06625
0.4,cn,1,0.002819,0.06625
0.4,raw,2,0.002398,0.06625
0.4,revin,2,0.084044,0.06625
0.4,cn,2,0.003066,0.06625
0.4,raw,3,0.003782,0.06625
0.4,revin,3,0.08595,0.06625
0.4,cn,3,0.002758,0.06625
0.4,raw,4,0.002373,0.06625
0.4,revin,4,0.083859,0.06625
0.4,cn,4,0.003335,0.06625
0.4,raw,5,0.003234,0.06625
0.4,revin,5,0.086546,0.06625
0.4,cn,5,0.003172,0.06625
0.4,raw,6,0.00276,0.06625
0.4,revin,6,0.082964,0.06625
0.4,cn,6,0.003006,0.06625
0.4,raw,7,0.002169,0.06625
0.4,revin,7,0.087195,0.06625
0.4,cn,7,0.002655,0.06625
0.4,raw,8,0.002472,0.06625
0.4,revin,8,0.086768,0.06625
0.4,cn,8,0.002931,0.06625
0.4,raw,9,0.002434,0.06625
0.4,revin,9,0.084135,0.06625
0.4,cn,9,0.002984,0.06625
0.8,raw,0,0.002944,0.0525
0.8,revin,0,0.068269,0.0525
0.8,cn,0,0.005206,0.0525
0.8,raw,1,0.003761,0.0525
0.8,revin,1,0.066029,0.0525
0.8,cn,1,0.003943,0.0525
0.8,raw,2,0.002276,0.0525
0.8,revin,2,0.064912,0.0525
0.8,cn,2,0.003399,0.0525
0.8,raw,3,0.002673,0.0525
0.8,revin,3,0.074771,0.0525
0.8,cn,3,0.004106,0.0525
0.8,raw,4,0.002917,0.0525
0.8,revin,4,0.066496,0.0525
0.8,cn,4,0.003515,0.0525
0.8,raw,5,0.002202,0.0525
0.8,revin,5,0.065987,0.0525
0.8,cn,5,0.003448,0.0525
0.8,raw,6,0.004249,0.0525
0.8,revin,6,0.065173,0.0525
0.8,cn,6,0.003404,0.0525
0.8,raw,7,0.002424,0.0525
0.8,revin,7,0.066913,0.0525
0.8,cn,7,0.003526,0.0525
0.8,raw,8,0.003131,0.0525
0.8,revin,8,0.067718,0.0525
0.8,cn,8,0.003472,0.0525
0.8,raw,9,0.002973,0.0525
0.8,revin,9,0.065347,0.0525
0.8,cn,9,0.004273,0.0525
