dataset,arm,backbone,h,seed,variant,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
jeju_wind,revin,rlinear_q,24,0,none,0.208409,0.416819,0.801657,0.081588,0.883245,0.789574
jeju_wind,revin,rlinear_q,24,0,pooled,0.208263,0.416526,0.812132,0.088258,0.90039,0.799988
jeju_wind,revin,rlinear_q,24,0,perstep,0.20819,0.41638,0.810981,0.089297,0.900279,0.800104
jeju_wind,revin,rlinear_q,24,1,none,0.208633,0.417266,0.781757,0.097189,0.878946,0.772863
jeju_wind,revin,rlinear_q,24,1,pooled,0.208519,0.417037,0.814987,0.08957,0.904557,0.799988
jeju_wind,revin,rlinear_q,24,1,perstep,0.208454,0.416909,0.81532,0.089862,0.905183,0.800056
jeju_wind,condnorm,rlinear_q,24,0,none,0.163078,0.326157,0.572213,0.210584,0.782796,0.539256
jeju_wind,condnorm,rlinear_q,24,0,pooled,0.159541,0.319081,0.827773,0.053413,0.881186,0.799988
jeju_wind,condnorm,rlinear_q,24,0,perstep,0.159294,0.318589,0.828732,0.053383,0.882114,0.799988
jeju_wind,raw,rlinear_q,24,0,none,0.205013,0.410025,0.817793,0.091376,0.909169,0.764214
jeju_wind,raw,rlinear_q,24,0,pooled,0.205433,0.410867,0.849106,0.075725,0.92483,0.799988
jeju_wind,raw,rlinear_q,24,0,perstep,0.205171,0.410343,0.848773,0.075462,0.924235,0.800191
jeju_wind,raw,rlinear_q,24,1,none,0.204501,0.409002,0.81854,0.089661,0.9082,0.765139
jeju_wind,raw,rlinear_q,24,1,pooled,0.204749,0.409497,0.848773,0.076653,0.925426,0.799988
jeju_wind,raw,rlinear_q,24,1,perstep,0.204288,0.408576,0.848642,0.075947,0.924588,0.800345
jeju_wind,raw,rlinear_q,24,2,none,0.204747,0.409493,0.829297,0.078752,0.908049,0.764194
jeju_wind,raw,rlinear_q,24,2,pooled,0.205242,0.410484,0.859853,0.067399,0.927252,0.799988
jeju_wind,raw,rlinear_q,24,2,perstep,0.205101,0.410203,0.859278,0.067359,0.926637,0.800249
jeju_wind,raw,rlinear_q,24,3,none,0.204931,0.409862,0.812041,0.099419,0.91146,0.762401
jeju_wind,raw,rlinear_q,24,3,pooled,0.205069,0.410138,0.84625,0.080851,0.927101,0.799988
jeju_wind,raw,rlinear_q,24,3,perstep,0.204974,0.409949,0.8462,0.080619,0.926818,0.800239
jeju_wind,raw,rlinear_q,24,4,none,0.203688,0.407376,0.802131,0.105665,0.907796,0.759845
jeju_wind,raw,rlinear_q,24,4,pooled,0.203515,0.407029,0.843132,0.080952,0.924084,0.800181
jeju_wind,raw,rlinear_q,24,4,perstep,0.203199,0.406397,0.843717,0.080104,0.923821,0.801001
jeju_wind,revin,rlinear_q,24,2,none,0.208463,0.416926,0.792696,0.086542,0.879238,0.781079
jeju_wind,revin,rlinear_q,24,2,pooled,0.208298,0.416595,0.815482,0.083565,0.899047,0.799988
jeju_wind,revin,rlinear_q,24,2,perstep,0.208185,0.416371,0.815694,0.083384,0.899078,0.800201
jeju_wind,revin,rlinear_q,24,3,none,0.208992,0.417984,0.777196,0.104596,0.881791,0.770289
jeju_wind,revin,rlinear_q,24,3,pooled,0.208918,0.417837,0.814594,0.086371,0.900965,0.799988
jeju_wind,revin,rlinear_q,24,3,perstep,0.208849,0.417698,0.814271,0.086603,0.900874,0.800046
jeju_wind,revin,rlinear_q,24,4,none,0.208625,0.417251,0.774512,0.102416,0.876927,0.762198
jeju_wind,revin,rlinear_q,24,4,pooled,0.208658,0.417316,0.821527,0.078802,0.900329,0.799988
jeju_wind,revin,rlinear_q,24,4,perstep,0.208638,0.417277,0.821486,0.079115,0.900601,0.800075
jeju_wind,san,rlinear_q,24,0,none,0.216985,0.433971,0.749445,0.129339,0.878784,0.702663
jeju_wind,san,rlinear_q,24,0,pooled,0.217238,0.434475,0.838238,0.075815,0.914053,0.799988
jeju_wind,san,rlinear_q,24,0,perstep,0.216901,0.433802,0.83739,0.075846,0.913236,0.800037
jeju_wind,san,rlinear_q,24,1,none,0.217648,0.435296,0.727436,0.145515,0.872951,0.680832
jeju_wind,san,rlinear_q,24,1,pooled,0.217574,0.435147,0.836795,0.079993,0.916788,0.799988
jeju_wind,san,rlinear_q,24,1,perstep,0.217208,0.434416,0.834332,0.082092,0.916424,0.800027
jeju_wind,san,rlinear_q,24,2,none,0.21722,0.434439,0.749808,0.127926,0.877735,0.702548
jeju_wind,san,rlinear_q,24,2,pooled,0.217575,0.435151,0.840236,0.075967,0.916202,0.799988
jeju_wind,san,rlinear_q,24,2,perstep,0.217286,0.434572,0.838409,0.076935,0.915345,0.800037
jeju_wind,san,rlinear_q,24,3,none,0.217256,0.434513,0.741977,0.134556,0.876534,0.709876
jeju_wind,san,rlinear_q,24,3,pooled,0.217202,0.434403,0.831487,0.082435,0.913922,0.799988
jeju_wind,san,rlinear_q,24,3,perstep,0.216931,0.433862,0.827763,0.084635,0.912398,0.800037
jeju_wind,san,rlinear_q,24,4,none,0.218883,0.437765,0.737023,0.139794,0.876806,0.685383
jeju_wind,san,rlinear_q,24,4,pooled,0.219237,0.438474,0.840962,0.073908,0.91487,0.799988
jeju_wind,san,rlinear_q,24,4,perstep,0.218969,0.437939,0.837693,0.074584,0.912277,0.800027
jeju_wind,fan,rlinear_q,24,0,none,0.246791,0.493582,0.392286,0.313777,0.706063,0.312659
jeju_wind,fan,rlinear_q,24,0,pooled,0.233345,0.466691,0.853475,0.063232,0.916707,0.799988
jeju_wind,fan,rlinear_q,24,0,perstep,0.23107,0.462139,0.852971,0.063999,0.916969,0.799902
jeju_wind,fan,rlinear_q,24,1,none,0.248064,0.496127,0.503784,0.287418,0.791202,0.423841
jeju_wind,fan,rlinear_q,24,1,pooled,0.240106,0.480212,0.846058,0.067208,0.913266,0.799988
jeju_wind,fan,rlinear_q,24,1,perstep,0.238133,0.476266,0.847037,0.065421,0.912459,0.799998
jeju_wind,fan,rlinear_q,24,2,none,0.245988,0.491975,0.369409,0.338611,0.708021,0.314414
jeju_wind,fan,rlinear_q,24,2,pooled,0.231021,0.462042,0.846845,0.071809,0.918655,0.799988
jeju_wind,fan,rlinear_q,24,2,perstep,0.227615,0.45523,0.847512,0.070205,0.917716,0.799931
jeju_wind,fan,rlinear_q,24,3,none,0.252285,0.50457,0.457758,0.346089,0.803847,0.39121
jeju_wind,fan,rlinear_q,24,3,pooled,0.239644,0.479288,0.854979,0.065623,0.920602,0.799988
jeju_wind,fan,rlinear_q,24,3,perstep,0.237276,0.474552,0.856412,0.065008,0.92142,0.79995
jeju_wind,fan,rlinear_q,24,4,none,0.255125,0.510249,0.334746,0.404154,0.7389,0.294704
jeju_wind,fan,rlinear_q,24,4,pooled,0.23533,0.47066,0.854848,0.068136,0.922984,0.799988
jeju_wind,fan,rlinear_q,24,4,perstep,0.231341,0.462682,0.854767,0.067127,0.921894,0.79995
jeju_wind,condnorm,rlinear_q,24,1,none,0.164448,0.328896,0.577793,0.210029,0.787822,0.554656
jeju_wind,condnorm,rlinear_q,24,1,pooled,0.160865,0.32173,0.823121,0.056097,0.879218,0.799988
jeju_wind,condnorm,rlinear_q,24,1,perstep,0.160632,0.321264,0.823605,0.055764,0.87937,0.79996
jeju_wind,condnorm,rlinear_q,24,2,none,0.166086,0.332173,0.568701,0.210574,0.779275,0.555919
jeju_wind,condnorm,rlinear_q,24,2,pooled,0.161975,0.323949,0.817006,0.056884,0.87389,0.799988
jeju_wind,condnorm,rlinear_q,24,2,perstep,0.161646,0.323293,0.818126,0.056511,0.874637,0.799998
jeju_wind,condnorm,rlinear_q,24,3,none,0.164757,0.329514,0.548852,0.222966,0.771817,0.531715
jeju_wind,condnorm,rlinear_q,24,3,pooled,0.160341,0.320681,0.823222,0.053756,0.876978,0.799988
jeju_wind,condnorm,rlinear_q,24,3,perstep,0.159994,0.319989,0.825028,0.053241,0.87827,0.800008
