dataset,alpha_kind,backbone,h,seed,L,mse,alpha_mean
gefcom_wind,alphahat,rlinear,24,0,336,0.168896,1.0
gefcom_wind,alphahat,rlinear,24,1,336,0.169681,1.0
gefcom_wind,alphahat,rlinear,24,2,336,0.170121,1.0
gefcom_wind,alphahat,rlinear,24,3,336,0.169469,1.0
gefcom_wind,alphahat,rlinear,24,4,336,0.169051,1.0
gefcom_wind,alphahat,lgbm_dms,24,0,336,0.160164,1.0
gefcom_wind,alphahat,rlinear,96,0,336,0.167456,1.0
gefcom_wind,alphahat,rlinear,96,1,336,0.167222,1.0
gefcom_wind,alphahat,rlinear,96,2,336,0.167158,1.0
gefcom_wind,alphahat,rlinear,96,3,336,0.169223,1.0
gefcom_wind,alphahat,rlinear,96,4,336,0.166881,1.0
gefcom_wind,alphahat,lgbm_dms,96,0,336,0.157864,1.0
gefcom_wind,alphahat,rlinear,336,0,336,0.186297,1.0
gefcom_wind,alphahat,rlinear,336,1,336,0.184648,1.0
gefcom_wind,alphahat,rlinear,336,2,336,0.18627,1.0
gefcom_wind,alphahat,rlinear,336,3,336,0.183608,1.0
gefcom_wind,alphahat,rlinear,336,4,336,0.184703,1.0
gefcom_wind,alphahat,lgbm_dms,336,0,336,0.173868,1.0
gefcom_wind,lpsclip,rlinear,24,0,336,0.193332,0.744
gefcom_wind,lpsclip,rlinear,24,1,336,0.196995,0.744
gefcom_wind,lpsclip,rlinear,24,2,336,0.192188,0.744
gefcom_wind,lpsclip,rlinear,24,3,336,0.190158,0.744
gefcom_wind,lpsclip,rlinear,24,4,336,0.186087,0.744
gefcom_wind,lpsclip,lgbm_dms,24,0,336,0.170846,0.744
gefcom_wind,lpsclip,rlinear,96,0,336,0.213769,0.744
gefcom_wind,lpsclip,rlinear,96,1,336,0.21638,0.744
gefcom_wind,lpsclip,rlinear,96,2,336,0.216275,0.744
gefcom_wind,lpsclip,rlinear,96,3,336,0.21808,0.744
gefcom_wind,lpsclip,rlinear,96,4,336,0.212972,0.744
gefcom_wind,lpsclip,lgbm_dms,96,0,336,0.197037,0.744
gefcom_wind,lpsclip,rlinear,336,0,336,0.247208,0.744
gefcom_wind,lpsclip,rlinear,336,1,336,0.24444,0.744
gefcom_wind,lpsclip,rlinear,336,2,336,0.250473,0.744
gefcom_wind,lpsclip,rlinear,336,3,336,0.25053,0.744
gefcom_wind,lpsclip,rlinear,336,4,336,0.24232,0.744
gefcom_wind,lpsclip,lgbm_dms,336,0,336,0.222931,0.744
jeju_wind,alphahat,rlinear,24,0,192,0.295471,0.9134
jeju_wind,alphahat,rlinear,24,1,192,0.290499,0.9134
jeju_wind,alphahat,rlinear,24,2,192,0.295502,0.9134
jeju_wind,alphahat,rlinear,24,3,192,0.288385,0.9134
jeju_wind,alphahat,rlinear,24,4,192,0.288737,0.9134
jeju_wind,alphahat,lgbm_dms,24,0,336,0.290598,0.9134
jeju_wind,alphahat,rlinear,48,0,336,0.297071,0.9134
jeju_wind,alphahat,rlinear,48,1,336,0.298442,0.9134
jeju_wind,alphahat,rlinear,48,2,336,0.301246,0.9134
jeju_wind,alphahat,rlinear,48,3,336,0.298146,0.9134
jeju_wind,alphahat,rlinear,48,4,336,0.296986,0.9134
jeju_wind,alphahat,lgbm_dms,48,0,336,0.300789,0.9134
jeju_wind,lpsclip,rlinear,24,0,192,0.295685,0.745
jeju_wind,lpsclip,rlinear,24,1,192,0.293197,0.745
jeju_wind,lpsclip,rlinear,24,2,192,0.296932,0.745
jeju_wind,lpsclip,rlinear,24,3,192,0.296676,0.745
jeju_wind,lpsclip,rlinear,24,4,192,0.30039,0.745
jeju_wind,lpsclip,lgbm_dms,24,0,336,0.307193,0.745
jeju_wind,lpsclip,rlinear,48,0,336,0.324514,0.745
jeju_wind,lpsclip,rlinear,48,1,336,0.321189,0.745
jeju_wind,lpsclip,rlinear,48,2,336,0.325436,0.745
jeju_wind,lpsclip,rlinear,48,3,336,0.323659,0.745
