dataset,arm,backbone,h,seed,L,mse,wall_s
gefcom_wind,raw,linmix,24,0,192,0.248015,68.9
gefcom_wind,raw,linmix,24,1,192,0.243157,53.4
gefcom_wind,raw,linmix,24,2,192,0.243634,57.2
gefcom_wind,raw,linmix,24,3,192,0.252647,34.1
gefcom_wind,raw,linmix,24,4,192,0.251789,36.3
gefcom_wind,revin_mean,linmix,24,0,192,0.266692,69.7
gefcom_wind,revin_mean,linmix,24,1,192,0.256355,79.6
gefcom_wind,revin_mean,linmix,24,2,192,0.256099,83.6
gefcom_wind,revin_mean,linmix,24,3,192,0.257141,55.3
gefcom_wind,revin_mean,linmix,24,4,192,0.273851,39.7
gefcom_wind,revin,linmix,24,0,192,0.320041,87.7
gefcom_wind,revin,linmix,24,1,192,0.324931,107.9
gefcom_wind,revin,linmix,24,2,192,0.320585,162.6
gefcom_wind,revin,linmix,24,3,192,0.312325,118.4
gefcom_wind,revin,linmix,24,4,192,0.323076,82.8
gefcom_wind,raw,linmix,96,0,336,0.248843,57.0
gefcom_wind,raw,linmix,96,1,336,0.264771,83.5
gefcom_wind,raw,linmix,96,2,336,0.25467,111.3
gefcom_wind,raw,linmix,96,3,336,0.237099,51.1
gefcom_wind,raw,linmix,96,4,336,0.246099,33.5
gefcom_wind,revin_mean,linmix,96,0,336,0.288803,34.7
gefcom_wind,revin_mean,linmix,96,1,336,0.255152,31.3
gefcom_wind,revin_mean,linmix,96,2,336,0.266306,7.9
gefcom_wind,revin_mean,linmix,96,3,336,0.250294,6.3
gefcom_wind,revin_mean,linmix,96,4,336,0.26973,22.7
gefcom_wind,revin,linmix,96,0,336,0.302357,97.0
gefcom_wind,revin,linmix,96,1,336,0.302456,120.4
gefcom_wind,revin,linmix,96,2,336,0.302791,172.4
gefcom_wind,revin,linmix,96,3,336,0.324945,104.8
gefcom_wind,revin,linmix,96,4,336,0.302244,81.9
gefcom_wind,raw,linmix,336,0,336,0.384811,74.2
gefcom_wind,raw,linmix,336,1,336,0.386918,88.4
gefcom_wind,raw,linmix,336,2,336,0.332647,75.0
gefcom_wind,raw,linmix,336,3,336,0.412157,100.8
gefcom_wind,raw,linmix,336,4,336,0.387808,75.8
gefcom_wind,revin_mean,linmix,336,0,336,0.408961,92.5
gefcom_wind,revin_mean,linmix,336,1,336,0.396375,109.8
gefcom_wind,revin_mean,linmix,336,2,336,0.380773,63.4
gefcom_wind,revin_mean,linmix,336,3,336,0.413522,74.7
gefcom_wind,revin_mean,linmix,336,4,336,0.421613,61.5
gefcom_wind,revin,linmix,336,0,336,0.446588,324.0
gefcom_wind,revin,linmix,336,1,336,0.423559,88.0
gefcom_wind,revin,linmix,336,2,336,0.386436,2.4
gefcom_wind,revin,linmix,336,3,336,0.403894,1.6
gefcom_wind,revin,linmix,336,4,336,0.43223,0.9
gefcom_wind,raw,mlpmix,24,0,192,0.240865,4.1
gefcom_wind,raw,mlpmix,24,1,192,0.241334,0.7
gefcom_wind,raw,mlpmix,24,2,192,0.240172,1.0
gefcom_wind,raw,mlpmix,24,3,192,0.23046,2.0
gefcom_wind,raw,mlpmix,24,4,192,0.233975,1.4
gefcom_wind,revin_mean,mlpmix,24,0,192,0.247813,1.7
gefcom_wind,revin_mean,mlpmix,24,1,192,0.250876,1.2
gefcom_wind,revin_mean,mlpmix,24,2,192,0.241738,2.6
gefcom_wind,revin_mean,mlpmix,24,3,192,0.244925,3.2
gefcom_wind,revin_mean,mlpmix,24,4,192,0.252625,2.8
gefcom_wind,revin,mlpmix,24,0,192,0.261941,5.8
gefcom_wind,revin,mlpmix,24,1,192,0.27243,1.8
gefcom_wind,revin,mlpmix,24,2,192,0.263671,1.9
gefcom_wind,revin,mlpmix,24,3,192,0.258087,0.7
gefcom_wind,revin,mlpmix,24,4,192,0.264403,2.5
gefcom_wind,raw,mlpmix,96,0,336,0.236688,1.6
gefcom_wind,raw,mlpmix,96,1,336,0.223308,1.3
gefcom_wind,raw,mlpmix,96,2,336,0.237553,1.1
gefcom_wind,raw,mlpmix,96,3,336,0.240194,1.4
gefcom_wind,raw,mlpmix,96,4,336,0.248793,1.4
gefcom_wind,revin_mean,mlpmix,96,0,336,0.243094,0.9
gefcom_wind,revin_mean,mlpmix,96,1,336,0.223024,1.2
gefcom_wind,revin_mean,mlpmix,96,2,336,0.239923,1.5
gefcom_wind,revin_mean,mlpmix,96,3,336,0.232719,2.5
gefcom_wind,revin_mean,mlpmix,96,4,336,0.240789,1.8
gefcom_wind,revin,mlpmix,96,0,336,0.272483,2.1
gefcom_wind,revin,mlpmix,96,1,336,0.252959,2.3
gefcom_wind,revin,mlpmix,96,2,336,0.266984,1.0
gefcom_wind,revin,mlpmix,96,3,336,0.256388,2.3
gefcom_wind,revin,mlpmix,96,4,336,0.264687,2.6
gefcom_wind,raw,mlpmix,336,0,192,0.28996,2.7
gefcom_wind,raw,mlpmix,336,1,192,0.29297,7.9
gefcom_wind,raw,mlpmix,336,2,192,0.299369,2.1
gefcom_wind,raw,mlpmix,336,3,192,0.301179,6.1
gefcom_wind,raw,mlpmix,336,4,192,0.287012,3.9
gefcom_wind,revin_mean,mlpmix,336,0,192,0.303708,5.4
gefcom_wind,revin_mean,mlpmix,336,1,192,0.310983,4.3
gefcom_wind,revin_mean,mlpmix,336,2,192,0.314036,28.5
gefcom_wind,revin_mean,mlpmix,336,3,192,0.320682,78.1
gefcom_wind,revin_mean,mlpmix,336,4,192,0.300833,70.5
gefcom_wind,revin,mlpmix,336,0,192,0.389075,50.3
gefcom_wind,revin,mlpmix,336,1,192,0.401848,2.1
gefcom_wind,revin,mlpmix,336,2,192,0.390771,2.4
gefcom_wind,revin,mlpmix,336,3,192,0.381577,4.1
gefcom_wind,revin,mlpmix,336,4,192,0.379706,2.4
gefcom_solar,raw,linmix,24,0,192,0.160753,0.5
gefcom_solar,raw,linmix,24,1,192,0.166929,0.6
gefcom_solar,raw,linmix,24,2,192,0.161566,0.6
gefcom_solar,raw,linmix,24,3,192,0.156627,0.7
gefcom_solar,raw,linmix,24,4,192,0.15966,0.5
gefcom_solar,revin_mean,linmix,24,0,192,0.16465,0.3
gefcom_solar,revin_mean,linmix,24,1,192,0.164248,0.4
gefcom_solar,revin_mean,linmix,24,2,192,0.161179,4.2
gefcom_solar,revin_mean,linmix,24,3,192,0.156884,4.4
gefcom_solar,revin_mean,linmix,24,4,192,0.162792,1.7
gefcom_solar,revin,linmix,24,0,192,0.142852,4.3
gefcom_solar,revin,linmix,24,1,192,0.149075,1.6
gefcom_solar,revin,linmix,24,2,192,0.146899,1.8
gefcom_solar,revin,linmix,24,3,192,0.148412,5.6
gefcom_solar,revin,linmix,24,4,192,0.145231,3.8
gefcom_solar,raw,linmix,96,0,96,0.149163,3.1
gefcom_solar,raw,linmix,96,1,96,0.14386,2.1
gefcom_solar,raw,linmix,96,2,96,0.143007,1.7
gefcom_solar,raw,linmix,96,3,96,0.145453,2.1
gefcom_solar,raw,linmix,96,4,96,0.150216,2.2
gefcom_solar,revin_mean,linmix,96,0,96,0.151484,2.5
gefcom_solar,revin_mean,linmix,96,1,96,0.150953,5.1
gefcom_solar,revin_mean,linmix,96,2,96,0.144241,0.9
gefcom_solar,revin_mean,linmix,96,3,96,0.149692,0.7
gefcom_solar,revin_mean,linmix,96,4,96,0.149071,20.0
gefcom_solar,revin,linmix,96,0,96,0.149104,36.9
gefcom_solar,revin,linmix,96,1,96,0.143318,72.3
gefcom_solar,revin,linmix,96,2,96,0.149419,43.8
gefcom_solar,revin,linmix,96,3,96,0.151606,12.3
gefcom_solar,revin,linmix,96,4,96,0.134525,5.5
gefcom_solar,raw,linmix,336,0,96,0.195011,3.3
gefcom_solar,raw,linmix,336,1,96,0.188812,2.4
gefcom_solar,raw,linmix,336,2,96,0.192152,2.8
gefcom_solar,raw,linmix,336,3,96,0.195003,6.5
gefcom_solar,raw,linmix,336,4,96,0.190433,3.1
gefcom_solar,revin_mean,linmix,336,0,96,0.199094,2.7
gefcom_solar,revin_mean,linmix,336,1,96,0.195002,2.8
gefcom_solar,revin_mean,linmix,336,2,96,0.19874,2.4
gefcom_solar,revin_mean,linmix,336,3,96,0.202166,2.1
gefcom_solar,revin_mean,linmix,336,4,96,0.195011,2.6
gefcom_solar,revin,linmix,336,0,96,0.193744,5.8
gefcom_solar,revin,linmix,336,1,96,0.195254,3.1
gefcom_solar,revin,linmix,336,2,96,0.199837,3.4
gefcom_solar,revin,linmix,336,3,96,0.1932,3.1
gefcom_solar,revin,linmix,336,4,96,0.192945,3.3
gefcom_solar,raw,mlpmix,24,0,192,0.083216,1.1
gefcom_solar,raw,mlpmix,24,1,192,0.080565,1.8
gefcom_solar,raw,mlpmix,24,2,192,0.084423,1.7
gefcom_solar,raw,mlpmix,24,3,192,0.081117,2.6
gefcom_solar,raw,mlpmix,24,4,192,0.080788,2.5
gefcom_solar,revin_mean,mlpmix,24,0,192,0.085609,1.4
gefcom_solar,revin_mean,mlpmix,24,1,192,0.081705,1.9
gefcom_solar,revin_mean,mlpmix,24,2,192,0.087441,1.4
gefcom_solar,revin_mean,mlpmix,24,3,192,0.083112,2.4
gefcom_solar,revin_mean,mlpmix,24,4,192,0.081879,2.3
gefcom_solar,revin,mlpmix,24,0,192,0.081162,3.6
gefcom_solar,revin,mlpmix,24,1,192,0.082231,2.3
gefcom_solar,revin,mlpmix,24,2,192,0.083272,2.7
gefcom_solar,revin,mlpmix,24,3,192,0.083615,3.3
gefcom_solar,revin,mlpmix,24,4,192,0.083659,3.2
gefcom_solar,raw,mlpmix,96,0,96,0.084345,2.4
gefcom_solar,raw,mlpmix,96,1,96,0.082011,2.5
gefcom_solar,raw,mlpmix,96,2,96,0.087491,1.6
gefcom_solar,raw,mlpmix,96,3,96,0.082929,2.5
gefcom_solar,raw,mlpmix,96,4,96,0.083176,2.5
gefcom_solar,revin_mean,mlpmix,96,0,96,0.085791,2.5
gefcom_solar,revin_mean,mlpmix,96,1,96,0.088898,2.2
gefcom_solar,revin_mean,mlpmix,96,2,96,0.088286,2.6
gefcom_solar,revin_mean,mlpmix,96,3,96,0.08811,2.8
gefcom_solar,revin_mean,mlpmix,96,4,96,0.088182,2.3
gefcom_solar,revin,mlpmix,96,0,96,0.090981,3.9
gefcom_solar,revin,mlpmix,96,1,96,0.09226,2.9
gefcom_solar,revin,mlpmix,96,2,96,0.093019,2.3
gefcom_solar,revin,mlpmix,96,3,96,0.097121,3.1
gefcom_solar,revin,mlpmix,96,4,96,0.092475,3.2
gefcom_solar,raw,mlpmix,336,0,192,0.109295,4.7
gefcom_solar,raw,mlpmix,336,1,192,0.106101,4.5
gefcom_solar,raw,mlpmix,336,2,192,0.105924,4.8
gefcom_solar,raw,mlpmix,336,3,192,0.107573,4.7
gefcom_solar,raw,mlpmix,336,4,192,0.10616,4.9
gefcom_solar,revin_mean,mlpmix,336,0,192,0.111174,4.3
gefcom_solar,revin_mean,mlpmix,336,1,192,0.116121,3.8
gefcom_solar,revin_mean,mlpmix,336,2,192,0.113617,4.2
gefcom_solar,revin_mean,mlpmix,336,3,192,0.112127,5.0
gefcom_solar,revin_mean,mlpmix,336,4,192,0.111485,5.3
gefcom_solar,revin,mlpmix,336,0,192,0.11949,6.4
gefcom_solar,revin,mlpmix,336,1,192,0.121544,4.9
gefcom_solar,revin,mlpmix,336,2,192,0.118827,6.6
gefcom_solar,revin,mlpmix,336,3,192,0.124452,4.9
gefcom_solar,revin,mlpmix,336,4,192,0.127365,4.7
