dataset,backbone,h,raw,revin_mean,revin,d_mean,d_rest,d_total,share
gefcom_solar,linmix,24,0.161107,0.1619506,0.1464938,0.0008435999999999999,-0.015456799999999993,-0.014613199999999993,-0.05772862891084775
gefcom_solar,linmix,96,0.1463398,0.1490882,0.14559439999999998,0.002748400000000012,-0.003493800000000019,-0.0007454000000000072,-3.6871478400858404
gefcom_solar,linmix,336,0.19228220000000001,0.1980026,0.194996,0.005720399999999987,-0.003006599999999998,0.0027137999999999884,2.1078929913774083
gefcom_solar,mlpmix,24,0.0820218,0.0839492,0.0827878,0.0019273999999999958,-0.0011614000000000069,0.0007659999999999889,2.5161879895561667
gefcom_solar,mlpmix,96,0.08399039999999999,0.0878534,0.0931712,0.0038630000000000053,0.0053177999999999975,0.009180800000000003,0.42076943185779064
gefcom_solar,mlpmix,336,0.1070106,0.1129048,0.12233559999999999,0.005894200000000002,0.00943079999999999,0.015324999999999991,0.3846133768352369
gefcom_wind,linmix,24,0.2478484,0.2620276,0.3201916,0.01417920000000003,0.058163999999999993,0.07234320000000002,0.19599907109445014
gefcom_wind,linmix,96,0.2502964,0.266057,0.3069586,0.015760600000000013,0.04090160000000004,0.05666220000000005,0.2781501600714409
gefcom_wind,linmix,336,0.3808682,0.40424879999999996,0.41854139999999995,0.023380599999999974,0.014292599999999989,0.03767319999999996,0.6206162470934244
gefcom_wind,mlpmix,24,0.2373612,0.24759539999999997,0.2641064,0.010234199999999971,0.016511000000000053,0.026745200000000025,0.38265557931890437
gefcom_wind,mlpmix,96,0.2373072,0.2359098,0.2627002,-0.001397399999999993,0.026790399999999992,0.025393,-0.055030914031425716
gefcom_wind,mlpmix,336,0.29409799999999997,0.3100484,0.3885954,0.01595040000000003,0.07854699999999998,0.09449740000000001,0.16879194559850355
