zone,backbone,norm,h,seed,L,mse,lps
1,rlinear,raw,24,0,336,1.046692,0.7012
1,rlinear,raw,24,1,336,1.047161,0.7012
1,rlinear,raw,24,2,336,1.050407,0.7012
1,rlinear,raw,24,3,336,1.053561,0.7012
1,rlinear,raw,24,4,336,1.058699,0.7012
1,rlinear,revin,24,0,336,1.030069,0.7012
1,rlinear,revin,24,1,336,1.028558,0.7012
1,rlinear,revin,24,2,336,1.005351,0.7012
1,rlinear,revin,24,3,336,1.006577,0.7012
1,rlinear,revin,24,4,336,1.048762,0.7012
1,rlinear,condnorm,24,0,336,0.572571,0.7012
1,rlinear,condnorm,24,1,336,0.570853,0.7012
1,rlinear,condnorm,24,2,336,0.566159,0.7012
1,rlinear,condnorm,24,3,336,0.567469,0.7012
1,rlinear,condnorm,24,4,336,0.580291,0.7012
1,lgbm_dms,winz,24,0,336,1.079688,0.7012
1,lgbm_dms,raw,24,0,336,1.073121,0.7012
1,lgbm_dms,condnorm,24,0,336,0.547634,0.7012
1,rlinear,raw,96,0,336,1.298281,0.7012
1,rlinear,raw,96,1,336,1.334105,0.7012
1,rlinear,raw,96,2,336,1.320058,0.7012
1,rlinear,raw,96,3,336,1.331852,0.7012
1,rlinear,raw,96,4,336,1.315076,0.7012
1,rlinear,revin,96,0,336,1.242266,0.7012
1,rlinear,revin,96,1,336,1.227533,0.7012
1,rlinear,revin,96,2,336,1.218546,0.7012
1,rlinear,revin,96,3,336,1.243829,0.7012
1,rlinear,revin,96,4,336,1.241434,0.7012
1,rlinear,condnorm,96,0,336,0.549225,0.7012
1,rlinear,condnorm,96,1,336,0.556963,0.7012
1,rlinear,condnorm,96,2,336,0.550307,0.7012
1,rlinear,condnorm,96,3,336,0.548289,0.7012
1,rlinear,condnorm,96,4,336,0.557679,0.7012
1,lgbm_dms,winz,96,0,336,1.349103,0.7012
1,lgbm_dms,raw,96,0,336,1.353288,0.7012
1,lgbm_dms,condnorm,96,0,336,0.532495,0.7012
1,rlinear,raw,336,0,336,1.547256,0.7012
1,rlinear,raw,336,1,336,1.53168,0.7012
1,rlinear,raw,336,2,336,1.53214,0.7012
1,rlinear,raw,336,3,336,1.509688,0.7012
1,rlinear,raw,336,4,336,1.528855,0.7012
1,rlinear,revin,336,0,336,1.471023,0.7012
1,rlinear,revin,336,1,336,1.465299,0.7012
1,rlinear,revin,336,2,336,1.459804,0.7012
1,rlinear,revin,336,3,336,1.438957,0.7012
1,rlinear,revin,336,4,336,1.455939,0.7012
1,rlinear,condnorm,336,0,336,0.534813,0.7012
1,rlinear,condnorm,336,1,336,0.53372,0.7012
1,rlinear,condnorm,336,2,336,0.531392,0.7012
1,rlinear,condnorm,336,3,336,0.532605,0.7012
1,rlinear,condnorm,336,4,336,0.536984,0.7012
1,lgbm_dms,winz,336,0,336,1.546388,0.7012
1,lgbm_dms,raw,336,0,336,1.504964,0.7012
1,lgbm_dms,condnorm,336,0,336,0.513339,0.7012
10,rlinear,raw,24,0,336,0.935565,0.6433
10,rlinear,raw,24,1,336,0.926941,0.6433
10,rlinear,raw,24,2,336,0.950203,0.6433
10,rlinear,raw,24,3,336,0.966399,0.6433
10,rlinear,raw,24,4,336,0.93899,0.6433
10,rlinear,revin,24,0,336,0.957397,0.6433
10,rlinear,revin,24,1,336,0.953925,0.6433
10,rlinear,revin,24,2,336,0.957298,0.6433
10,rlinear,revin,24,3,336,0.967685,0.6433
10,rlinear,revin,24,4,336,0.963269,0.6433
10,rlinear,condnorm,24,0,336,0.487264,0.6433
10,rlinear,condnorm,24,1,336,0.499052,0.6433
10,rlinear,condnorm,24,2,336,0.487112,0.6433
10,rlinear,condnorm,24,3,336,0.489091,0.6433
10,rlinear,condnorm,24,4,336,0.488431,0.6433
10,lgbm_dms,winz,24,0,336,0.915694,0.6433
10,lgbm_dms,raw,24,0,336,0.911986,0.6433
10,lgbm_dms,condnorm,24,0,336,0.42584,0.6433
10,rlinear,raw,96,0,336,1.05634,0.6433
10,rlinear,raw,96,1,336,1.077837,0.6433
10,rlinear,raw,96,2,336,1.07648,0.6433
10,rlinear,raw,96,3,336,1.063669,0.6433
10,rlinear,raw,96,4,336,1.061171,0.6433
10,rlinear,revin,96,0,336,1.091742,0.6433
10,rlinear,revin,96,1,336,1.115228,0.6433
10,rlinear,revin,96,2,336,1.11234,0.6433
10,rlinear,revin,96,3,336,1.095141,0.6433
10,rlinear,revin,96,4,336,1.098891,0.6433
10,rlinear,condnorm,96,0,336,0.470961,0.6433
10,rlinear,condnorm,96,1,336,0.469577,0.6433
10,rlinear,condnorm,96,2,336,0.470115,0.6433
10,rlinear,condnorm,96,3,336,0.473315,0.6433
10,rlinear,condnorm,96,4,336,0.471542,0.6433
10,lgbm_dms,winz,96,0,336,1.068173,0.6433
10,lgbm_dms,raw,96,0,336,1.059516,0.6433
10,lgbm_dms,condnorm,96,0,336,0.430752,0.6433
10,rlinear,raw,336,0,336,1.114738,0.6433
10,rlinear,raw,336,1,336,1.096461,0.6433
10,rlinear,raw,336,2,336,1.105393,0.6433
10,rlinear,raw,336,3,336,1.110203,0.6433
10,rlinear,raw,336,4,336,1.110777,0.6433
10,rlinear,revin,336,0,336,1.137505,0.6433
10,rlinear,revin,336,1,336,1.141692,0.6433
10,rlinear,revin,336,2,336,1.131387,0.6433
10,rlinear,revin,336,3,336,1.132477,0.6433
10,rlinear,revin,336,4,336,1.136564,0.6433
10,rlinear,condnorm,336,0,336,0.461086,0.6433
10,rlinear,condnorm,336,1,336,0.460781,0.6433
10,rlinear,condnorm,336,2,336,0.460025,0.6433
10,rlinear,condnorm,336,3,336,0.460478,0.6433
