dataset,w,model,lps,n_windows,covariates
etth1,96,lgbm,-0.2333,181,cal
etth1,96,ridge,-0.0493,181,cal
etth1,336,lgbm,-0.1631,51,cal
etth1,336,ridge,0.0692,51,cal
etth2,96,lgbm,0.8878,181,cal
etth2,96,ridge,0.8997,181,cal
etth2,336,lgbm,0.0318,51,cal
etth2,336,ridge,0.9344,51,cal
electricity,96,lgbm,0.5761,274,cal
electricity,96,ridge,0.5582,274,cal
electricity,336,lgbm,0.5255,78,cal
electricity,336,ridge,0.6069,78,cal
weather,96,lgbm,-0.5431,548,cal
weather,96,ridge,-0.1501,548,cal
weather,336,lgbm,-0.03,156,cal
weather,336,ridge,-0.4499,156,cal
gefcom_wind,96,lgbm,0.817,173,exog+cal
gefcom_wind,96,ridge,0.9171,173,exog+cal
gefcom_wind,336,lgbm,0.1682,49,exog+cal
gefcom_wind,336,ridge,0.9443,49,exog+cal
gefcom_load,96,lgbm,0.8938,631,exog+cal
gefcom_load,96,ridge,0.1182,631,exog+cal
gefcom_load,336,lgbm,0.8142,180,exog+cal
gefcom_load,336,ridge,0.0905,180,exog+cal
gefcom_solar,96,lgbm,0.8754,197,exog+cal
gefcom_solar,96,ridge,0.8903,197,exog+cal
gefcom_solar,336,lgbm,0.3112,56,exog+cal
gefcom_solar,336,ridge,0.9153,56,exog+cal
kpx_demand_national,96,lgbm,-0.1964,91,cal
kpx_demand_national,96,ridge,-0.797,91,cal
kpx_demand_national,336,lgbm,-0.0,26,cal
kpx_demand_national,336,ridge,-0.8985,26,cal
