lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,0,96,24,raw,0.268751,0.411885,13,0.0096,nan,0.320006,0.97
0.0,0,96,24,revin,0.27027,0.413024,8,0.0096,nan,0.045962,0.31
0.0,0,96,24,cn_oracle,0.243452,0.393146,7,0.0096,nan,0.0,0.12
0.0,0,96,24,cn_est,0.288003,0.425239,10,0.0096,0.324031,0.326968,0.17
0.0,0,96,96,raw,0.298961,0.43264,10,0.0096,nan,0.324287,0.17
0.0,0,96,96,revin,0.30182,0.434527,5,0.0096,nan,0.078761,0.14
0.0,0,96,96,cn_oracle,0.243745,0.393779,10,0.0096,nan,0.0,0.19
0.0,0,96,96,cn_est,0.317038,0.444243,10,0.0096,0.324031,0.331288,0.17
0.0,0,96,336,raw,0.362301,0.478116,12,0.0096,nan,0.328573,0.2
0.0,0,96,336,revin,0.372021,0.484322,7,0.0096,nan,0.138645,0.22
0.0,0,96,336,cn_oracle,0.247137,0.395453,7,0.0096,nan,0.0,0.11
0.0,0,96,336,cn_est,0.377761,0.487248,12,0.0096,0.324031,0.334935,0.22
0.5,0,96,24,raw,0.696886,0.649626,13,0.4441,nan,0.66386,0.22
0.5,0,96,24,revin,0.730243,0.662759,7,0.4441,nan,0.703664,0.19
0.5,0,96,24,cn_oracle,0.084371,0.231693,6,0.4441,nan,0.0,0.1
0.5,0,96,24,cn_est,0.094002,0.243477,9,0.4441,0.044136,0.044562,0.15
0.5,0,96,96,raw,0.788014,0.692292,8,0.4441,nan,0.656546,0.13
0.5,0,96,96,revin,0.859066,0.720982,7,0.4441,nan,0.752028,0.2
0.5,0,96,96,cn_oracle,0.085635,0.233521,8,0.4441,nan,0.0,0.16
0.5,0,96,96,cn_est,0.095923,0.246426,13,0.4441,0.044136,0.044768,0.23
0.5,0,96,336,raw,0.801204,0.700091,11,0.4441,nan,0.64735,0.18
0.5,0,96,336,revin,0.881932,0.736437,11,0.4441,nan,0.753131,0.31
0.5,0,96,336,cn_oracle,0.085145,0.23259,6,0.4441,nan,0.0,0.12
0.5,0,96,336,cn_est,0.100818,0.252692,15,0.4441,0.044136,0.044999,0.28
1.0,0,96,24,raw,0.751361,0.684873,7,0.9893,nan,0.787357,0.14
1.0,0,96,24,revin,0.830984,0.724227,7,0.9893,nan,0.881597,0.21
1.0,0,96,24,cn_oracle,0.056893,0.189974,8,0.9893,nan,0.0,0.14
1.0,0,96,24,cn_est,0.058984,0.193391,10,0.9893,0.00188,0.001902,0.2
